,id,age,gender,education,freq,variable,value,drug_type
47,51,35-44,M,Masters degree,Used in Last Day,nscore,1.02,alcohol
48,52,45-54,M,Professional certificate/ diploma,Used in Last Decade,nscore,1.13,alcohol
49,53,55-64,F,University degree,Used in Last Week,nscore,-0.15,alcohol
50,54,45-54,M,Masters degree,Used in Last Week,nscore,-1.44,alcohol
51,55,55-64,M,Left school at 16 years,Used in Last Day,nscore,0.04,alcohol
52,56,55-64,F,Professional certificate/ diploma,Used in Last Year,nscore,0.04,alcohol
53,57,35-44,F,"Some college or university, no certificate or degree",Used in Last Week,nscore,0.04,alcohol
54,59,45-54,M,Left school at 18 years,Used in Last Week,nscore,0.22,alcohol
55,60,45-54,M,University degree,Used in Last Week,nscore,-0.47,alcohol
56,61,25-34,F,Doctorate degree,Used in Last Week,nscore,1.37,alcohol
57,62,45-54,M,Masters degree,Used in Last Week,nscore,-2.22,alcohol
58,63,25-34,M,University degree,Used in Last Week,nscore,-0.58,alcohol
59,64,45-54,M,University degree,Used in Last Week,nscore,1.02,alcohol
60,65,45-54,M,Doctorate degree,Used in Last Day,nscore,-1.55,alcohol
61,66,35-44,M,"Some college or university, no certificate or degree",Used in Last Week,nscore,0.74,alcohol
62,67,45-54,M,Left school at 16 years,Used in Last Month,nscore,-1.05,alcohol
63,68,25-34,M,Masters degree,Used in Last Week,nscore,-0.35,alcohol
64,69,35-44,M,Professional certificate/ diploma,Used in Last Week,nscore,-0.92,alcohol
65,70,45-54,F,Left school at 16 years,Used in Last Day,nscore,-0.05,alcohol
66,71,25-34,M,"Some college or university, no certificate or degree",Used in Last Day,nscore,-0.35,alcohol
67,72,45-54,F,Left school at 18 years,Used in Last Week,nscore,-0.47,alcohol
68,73,45-54,M,Left school at 18 years,Used in Last Day,nscore,-1.55,alcohol
69,74,45-54,M,Professional certificate/ diploma,Used in Last Day,nscore,-0.68,alcohol
70,75,65+,F,Left school at 16 years,Used in Last Year,nscore,-1.19,alcohol
71,76,25-34,M,University degree,Used in Last Week,nscore,-0.15,alcohol
72,77,45-54,F,Left school at 17 years,Used in Last Month,nscore,-0.35,alcohol
73,78,35-44,M,University degree,Used in Last Year,nscore,0.14,alcohol
74,79,35-44,M,"Some college or university, no certificate or degree",Used in Last Day,nscore,-0.79,alcohol
75,80,35-44,M,Professional certificate/ diploma,Used in Last Week,nscore,-0.35,alcohol
76,81,65+,F,Doctorate degree,Used in Last Day,nscore,0.04,alcohol
77,82,55-64,F,University degree,Used in Last Week,nscore,-0.79,alcohol
78,83,55-64,M,Masters degree,Used in Last Week,nscore,-2.05,alcohol
79,84,55-64,F,Left school at 17 years,Used in Last Year,nscore,1.02,alcohol
80,85,45-54,M,Left school at 16 years,Used in Last Week,nscore,-0.35,alcohol
81,86,25-34,F,Left school at 18 years,Used in Last Year,nscore,-0.47,alcohol
82,87,35-44,M,"Some college or university, no certificate or degree",Used in Last Week,nscore,0.74,alcohol
83,88,55-64,M,Left school at 16 years,Used in Last Week,nscore,-0.92,alcohol
84,89,35-44,F,"Some college or university, no certificate or degree",Used in Last Year,nscore,0.31,alcohol
85,90,35-44,F,Masters degree,Used in Last Week,nscore,0.91,alcohol
86,91,35-44,F,Masters degree,Used in Last Day,nscore,1.37,alcohol
87,92,35-44,M,Professional certificate/ diploma,Used in Last Decade,nscore,0.42,alcohol
88,93,25-34,M,Left school at 18 years,Used in Last Month,nscore,-1.55,alcohol
89,94,65+,F,Left school at 16 years,Used in Last Year,nscore,-0.15,alcohol
90,95,45-54,M,Masters degree,Used in Last Week,nscore,-0.68,alcohol
91,96,45-54,M,Masters degree,Used in Last Day,nscore,-0.47,alcohol
92,97,35-44,F,University degree,Used in Last Month,nscore,0.14,alcohol
93,98,45-54,F,Masters degree,Used in Last Week,nscore,-0.47,alcohol
94,99,35-44,M,Doctorate degree,Used in Last Month,nscore,-1.19,alcohol
95,100,25-34,F,University degree,Used in Last Day,nscore,-0.68,alcohol
96,101,25-34,M,Masters degree,Used in Last Day,nscore,-1.05,alcohol
97,102,45-54,F,Left school at 16 years,Used in Last Month,nscore,-0.58,alcohol
98,103,45-54,M,Left school at 18 years,Used in Last Day,nscore,-0.58,alcohol
99,104,45-54,F,Professional certificate/ diploma,Used in Last Month,nscore,0.04,alcohol
100,105,25-34,F,"Some college or university, no certificate or degree",Used in Last Week,nscore,-0.92,alcohol
101,106,35-44,M,Professional certificate/ diploma,Used in Last Year,nscore,-2.22,alcohol
102,107,25-34,F,"Some college or university, no certificate or degree",Used in Last Month,nscore,1.02,alcohol
103,108,35-44,F,Left school at 16 years,Used in Last Week,nscore,0.14,alcohol
104,109,25-34,F,University degree,Used in Last Week,nscore,-0.47,alcohol
105,110,45-54,F,"Some college or university, no certificate or degree",Used in Last Week,nscore,-0.79,alcohol
106,111,45-54,M,Masters degree,Used in Last Week,nscore,-0.15,alcohol
107,112,25-34,M,Masters degree,Used in Last Day,nscore,0.31,alcohol
108,113,25-34,F,University degree,Used in Last Year,nscore,-1.19,alcohol
109,114,45-54,F,Professional certificate/ diploma,Used in Last Month,nscore,0.04,alcohol
110,115,35-44,M,"Some college or university, no certificate or degree",Used in Last Month,nscore,-2.34,alcohol
111,116,25-34,F,Professional certificate/ diploma,Used in Last Week,nscore,0.22,alcohol
112,117,35-44,M,Professional certificate/ diploma,Used in Last Month,nscore,0.63,alcohol
113,118,25-34,F,University degree,Used in Last Week,nscore,1.6,alcohol
114,119,35-44,F,"Some college or university, no certificate or degree",Used in Last Week,nscore,1.84,alcohol
115,120,35-44,F,University degree,Used in Last Week,nscore,-0.35,alcohol
116,121,25-34,F,Masters degree,Used in Last Day,nscore,-1.05,alcohol
117,122,35-44,F,Professional certificate/ diploma,Used in Last Decade,nscore,1.49,alcohol
118,123,55-64,M,Masters degree,Used in Last Day,nscore,0.22,alcohol
119,124,25-34,F,University degree,Used in Last Week,nscore,0.22,alcohol
120,125,45-54,M,Left school at 16 years,Used in Last Year,nscore,-0.35,alcohol
121,126,55-64,M,University degree,Used in Last Day,nscore,-0.47,alcohol
122,127,45-54,M,University degree,Used in Last Week,nscore,-1.19,alcohol
123,128,45-54,F,Left school at 17 years,Used in Last Week,nscore,-0.35,alcohol
124,130,45-54,F,Masters degree,Used in Last Day,nscore,-0.79,alcohol
125,131,45-54,F,Left school at 16 years,Used in Last Week,nscore,0.91,alcohol
126,132,45-54,F,Left school at 16 years,Used in Last Month,nscore,-1.55,alcohol
127,133,35-44,F,Left school at 18 years,Used in Last Month,nscore,-0.25,alcohol
128,134,35-44,M,Masters degree,Used in Last Week,nscore,-0.05,alcohol
129,135,25-34,F,Masters degree,Used in Last Day,nscore,3.27,alcohol
130,137,45-54,F,University degree,Used in Last Week,nscore,-0.15,alcohol
131,138,45-54,F,University degree,Used in Last Month,nscore,-1.19,alcohol
132,139,55-64,M,University degree,Used in Last Day,nscore,-0.47,alcohol
133,140,45-54,M,Left school at 16 years,Used in Last Day,nscore,-0.05,alcohol
134,141,25-34,F,University degree,Used in Last Week,nscore,1.98,alcohol
135,142,35-44,F,Left school at 16 years,Used in Last Week,nscore,-0.79,alcohol
136,143,35-44,M,Left school at 17 years,Used in Last Day,nscore,-0.47,alcohol
137,145,45-54,M,Professional certificate/ diploma,Used in Last Day,nscore,0.14,alcohol
138,146,45-54,F,University degree,Used in Last Month,nscore,-0.47,alcohol
139,147,55-64,M,Professional certificate/ diploma,Used in Last Day,nscore,0.22,alcohol
140,148,35-44,M,Masters degree,Used in Last Month,nscore,-0.58,alcohol
141,149,35-44,F,Professional certificate/ diploma,Used in Last Month,nscore,-0.05,alcohol
142,150,45-54,F,University degree,Used in Last Month,nscore,-0.79,alcohol
143,151,35-44,F,"Some college or university, no certificate or degree",Used in Last Week,nscore,-0.25,alcohol
144,152,35-44,F,University degree,Used in Last Week,nscore,0.52,alcohol
145,153,25-34,F,University degree,Used in Last Week,nscore,-0.47,alcohol
146,154,25-34,M,University degree,Used in Last Day,nscore,-0.68,alcohol
147,155,18-24,F,"Some college or university, no certificate or degree",Used in Last Week,nscore,2.82,alcohol
148,156,35-44,F,University degree,Used in Last Week,nscore,0.63,alcohol
149,157,35-44,F,"Some college or university, no certificate or degree",Used in Last Week,nscore,1.23,alcohol
150,158,25-34,M,Left school at 16 years,Used in Last Day,nscore,-1.05,alcohol
151,159,35-44,F,University degree,Used in Last Year,nscore,-0.25,alcohol
152,160,45-54,F,"Some college or university, no certificate or degree",Used in Last Month,nscore,-0.47,alcohol
153,161,45-54,M,Masters degree,Used in Last Week,nscore,1.02,alcohol
154,162,35-44,M,University degree,Used in Last Week,nscore,-0.68,alcohol
155,163,25-34,F,University degree,Used in Last Year,nscore,0.22,alcohol
156,164,25-34,F,"Some college or university, no certificate or degree",Used in Last Month,nscore,1.84,alcohol
157,165,25-34,F,Doctorate degree,Used in Last Year,nscore,0.14,alcohol
158,166,45-54,M,Masters degree,Used in Last Day,nscore,-0.25,alcohol
159,167,18-24,M,"Some college or university, no certificate or degree",Used in Last Week,nscore,1.49,alcohol
160,168,25-34,F,Professional certificate/ diploma,Used in Last Decade,nscore,0.04,alcohol
161,169,25-34,F,University degree,Used in Last Week,nscore,0.22,alcohol
162,170,18-24,F,Left school at 18 years,Used in Last Week,nscore,-0.35,alcohol
163,171,45-54,M,Left school at 16 years,Used in Last Decade,nscore,1.37,alcohol
164,172,35-44,M,Masters degree,Used in Last Day,nscore,-0.35,alcohol
165,173,45-54,F,Professional certificate/ diploma,Used in Last Week,nscore,0.52,alcohol
166,174,35-44,F,University degree,Used in Last Day,nscore,1.02,alcohol
167,175,35-44,F,Professional certificate/ diploma,Used in Last Day,nscore,1.02,alcohol
168,176,55-64,F,University degree,Used in Last Week,nscore,0.63,alcohol
169,177,35-44,F,University degree,Used in Last Year,nscore,-0.15,alcohol
170,178,35-44,F,University degree,Used in Last Week,nscore,1.49,alcohol
171,179,45-54,F,University degree,Used in Last Week,nscore,0.83,alcohol
172,180,35-44,F,Professional certificate/ diploma,Used in Last Week,nscore,0.42,alcohol
173,181,45-54,F,Professional certificate/ diploma,Used in Last Week,nscore,0.31,alcohol
174,182,25-34,M,Doctorate degree,Used in Last Week,nscore,-1.33,alcohol
175,183,35-44,F,"Some college or university, no certificate or degree",Used in Last Week,nscore,0.31,alcohol
176,184,18-24,F,University degree,Used in Last Day,nscore,1.98,alcohol
177,185,55-64,M,Left school at 18 years,Used in Last Day,nscore,0.04,alcohol
178,186,35-44,F,University degree,Used in Last Week,nscore,0.31,alcohol
179,187,35-44,F,Masters degree,Used in Last Day,nscore,-0.68,alcohol
180,188,55-64,F,Left school at 16 years,Used in Last Month,nscore,-0.79,alcohol
181,189,45-54,F,Left school at 16 years,Used in Last Month,nscore,0.42,alcohol
182,190,18-24,F,Masters degree,Used in Last Week,nscore,-0.35,alcohol
183,191,55-64,F,Professional certificate/ diploma,Used in Last Week,nscore,-1.44,alcohol
184,192,18-24,M,University degree,Used in Last Week,nscore,-0.35,alcohol
185,193,25-34,F,Professional certificate/ diploma,Used in Last Week,nscore,-0.79,alcohol
186,194,45-54,F,University degree,Used in Last Week,nscore,0.31,alcohol
187,195,25-34,F,University degree,Used in Last Year,nscore,-0.92,alcohol
188,196,55-64,F,University degree,Used in Last Week,nscore,0.63,alcohol
189,197,18-24,M,University degree,Used in Last Month,nscore,-0.58,alcohol
190,198,55-64,F,University degree,Used in Last Week,nscore,-0.35,alcohol
191,199,25-34,F,Professional certificate/ diploma,Used in Last Day,nscore,-0.05,alcohol
192,200,45-54,F,Professional certificate/ diploma,Used in Last Month,nscore,-0.47,alcohol
193,201,18-24,F,University degree,Used in Last Day,nscore,-0.58,alcohol
194,202,35-44,M,Masters degree,Used in Last Week,nscore,-0.15,alcohol
195,203,35-44,F,University degree,Used in Last Day,nscore,-0.68,alcohol
196,204,65+,M,Left school before 16 years,Used in Last Week,nscore,-1.55,alcohol
197,205,25-34,F,University degree,Used in Last Week,nscore,-0.15,alcohol
198,206,35-44,F,Left school at 16 years,Used in Last Week,nscore,-0.15,alcohol
199,207,18-24,F,University degree,Used in Last Week,nscore,-0.05,alcohol
200,208,35-44,F,Professional certificate/ diploma,Used in Last Week,nscore,-0.68,alcohol
201,209,35-44,F,University degree,Used in Last Month,nscore,0.14,alcohol
202,211,25-34,F,"Some college or university, no certificate or degree",Used in Last Year,nscore,0.74,alcohol
203,212,45-54,F,Left school at 16 years,Used in Last Week,nscore,-0.68,alcohol
204,213,25-34,F,Professional certificate/ diploma,Used in Last Day,nscore,0.14,alcohol
205,214,45-54,F,Professional certificate/ diploma,Used in Last Week,nscore,0.52,alcohol
206,215,25-34,F,Professional certificate/ diploma,Used in Last Week,nscore,-0.15,alcohol
207,216,25-34,F,University degree,Used in Last Week,nscore,1.6,alcohol
208,217,25-34,F,Professional certificate/ diploma,Used in Last Week,nscore,0.22,alcohol
209,218,35-44,M,Professional certificate/ diploma,Used in Last Decade,nscore,1.23,alcohol
210,219,25-34,F,Masters degree,Used in Last Month,nscore,0.31,alcohol
211,220,35-44,F,"Some college or university, no certificate or degree",Used in Last Day,nscore,-0.35,alcohol
212,221,18-24,F,University degree,Used in Last Week,nscore,0.83,alcohol
213,222,25-34,F,University degree,Used in Last Year,nscore,-0.15,alcohol
214,223,35-44,F,University degree,Used in Last Day,nscore,-0.25,alcohol
215,225,45-54,F,University degree,Used in Last Week,nscore,-0.47,alcohol
216,226,35-44,F,University degree,Used in Last Day,nscore,-1.33,alcohol
217,227,45-54,F,University degree,Used in Last Week,nscore,-0.47,alcohol
218,228,18-24,M,"Some college or university, no certificate or degree",Used in Last Week,nscore,0.22,alcohol
219,229,45-54,M,Masters degree,Used in Last Day,nscore,-0.68,alcohol
220,230,45-54,F,University degree,Used in Last Day,nscore,-1.05,alcohol
221,231,35-44,F,Professional certificate/ diploma,Used in Last Week,nscore,1.02,alcohol
222,232,65+,F,Masters degree,Used in Last Day,nscore,0.14,alcohol
223,233,25-34,F,University degree,Used in Last Week,nscore,0.04,alcohol
224,234,45-54,M,University degree,Used in Last Day,nscore,-0.68,alcohol
225,235,25-34,F,University degree,Used in Last Month,nscore,0.42,alcohol
226,236,25-34,F,Professional certificate/ diploma,Used in Last Week,nscore,0.04,alcohol
227,237,25-34,F,Masters degree,Used in Last Day,nscore,1.49,alcohol
228,238,25-34,F,Left school at 16 years,Used in Last Week,nscore,0.91,alcohol
229,239,18-24,F,Left school at 18 years,Used in Last Month,nscore,0.52,alcohol
230,240,45-54,F,Professional certificate/ diploma,Used in Last Week,nscore,-1.87,alcohol
231,241,35-44,F,Masters degree,Used in Last Month,nscore,0.63,alcohol
232,242,25-34,F,Left school at 18 years,Used in Last Week,nscore,2.13,alcohol
233,243,18-24,F,"Some college or university, no certificate or degree",Used in Last Week,nscore,1.49,alcohol
234,244,25-34,F,University degree,Used in Last Week,nscore,-0.58,alcohol
235,245,35-44,M,University degree,Used in Last Week,nscore,1.98,alcohol
236,246,25-34,F,"Some college or university, no certificate or degree",Used in Last Week,nscore,-0.25,alcohol
237,247,25-34,F,Professional certificate/ diploma,Used in Last Week,nscore,1.37,alcohol
238,248,45-54,M,Masters degree,Used in Last Day,nscore,-0.92,alcohol
239,249,45-54,F,Doctorate degree,Used in Last Week,nscore,-2.42,alcohol
240,250,45-54,F,Professional certificate/ diploma,Used in Last Week,nscore,1.13,alcohol
241,251,45-54,M,University degree,Used in Last Week,nscore,-0.47,alcohol
242,252,35-44,F,University degree,Used in Last Month,nscore,0.63,alcohol
243,253,18-24,F,Masters degree,Used in Last Week,nscore,-1.44,alcohol
244,254,45-54,F,Doctorate degree,Used in Last Day,nscore,-0.79,alcohol
245,255,25-34,M,Professional certificate/ diploma,Used in Last Month,nscore,1.37,alcohol
246,256,35-44,F,Masters degree,Used in Last Week,nscore,-1.19,alcohol
247,257,18-24,F,"Some college or university, no certificate or degree",Used in Last Month,nscore,-0.47,alcohol
248,258,35-44,M,Doctorate degree,Used in Last Month,nscore,0.04,alcohol
249,259,65+,M,Doctorate degree,Used in Last Week,nscore,0.52,alcohol
250,260,65+,M,Professional certificate/ diploma,Used in Last Day,nscore,-1.05,alcohol
251,261,45-54,F,Professional certificate/ diploma,Used in Last Week,nscore,-0.47,alcohol
252,262,55-64,M,University degree,Used in Last Decade,nscore,-0.68,alcohol
253,263,45-54,M,Masters degree,Used in Last Year,nscore,-0.92,alcohol
254,264,55-64,F,Left school before 16 years,Used in Last Week,nscore,-1.05,alcohol
255,265,18-24,F,University degree,Used in Last Week,nscore,-0.47,alcohol
256,266,35-44,F,University degree,Used in Last Decade,nscore,-0.25,alcohol
257,267,55-64,M,University degree,Used in Last Day,nscore,-1.19,alcohol
258,268,35-44,M,Professional certificate/ diploma,Used in Last Day,nscore,-0.92,alcohol
259,269,45-54,F,Masters degree,Used in Last Day,nscore,-1.05,alcohol
260,270,35-44,F,Masters degree,Used in Last Month,nscore,-0.92,alcohol
261,271,45-54,F,Masters degree,Used in Last Day,nscore,-2.34,alcohol
262,272,45-54,F,Masters degree,Used in Last Day,nscore,0.74,alcohol
263,273,55-64,M,Doctorate degree,Used in Last Day,nscore,-1.05,alcohol
264,274,25-34,F,University degree,Used in Last Day,nscore,0.22,alcohol
265,275,35-44,M,Masters degree,Used in Last Day,nscore,0.22,alcohol
266,276,35-44,F,Masters degree,Used in Last Month,nscore,0.42,alcohol
267,277,55-64,M,Doctorate degree,Used in Last Day,nscore,-0.92,alcohol
268,278,25-34,M,"Some college or university, no certificate or degree",Used in Last Week,nscore,-1.05,alcohol
269,279,45-54,F,University degree,Used in Last Week,nscore,-0.25,alcohol
270,280,45-54,M,Masters degree,Used in Last Week,nscore,-1.33,alcohol
271,281,55-64,M,Masters degree,Used in Last Day,nscore,-0.05,alcohol
272,282,45-54,F,"Some college or university, no certificate or degree",Used in Last Week,nscore,0.04,alcohol
273,283,45-54,F,Masters degree,Used in Last Week,nscore,-0.05,alcohol
274,284,45-54,M,University degree,Used in Last Day,nscore,-0.92,alcohol
275,285,35-44,M,Professional certificate/ diploma,Used in Last Year,nscore,-1.19,alcohol
276,286,35-44,M,University degree,Used in Last Week,nscore,-0.92,alcohol
277,287,45-54,F,University degree,Used in Last Week,nscore,0.22,alcohol
278,288,45-54,M,Masters degree,Used in Last Year,nscore,0.31,alcohol
279,289,25-34,M,"Some college or university, no certificate or degree",Used in Last Day,nscore,0.63,alcohol
280,290,25-34,F,Masters degree,Used in Last Month,nscore,-2.05,alcohol
281,292,35-44,F,"Some college or university, no certificate or degree",Used in Last Week,nscore,0.63,alcohol
282,293,45-54,F,Professional certificate/ diploma,Used in Last Year,nscore,-0.05,alcohol
283,295,25-34,F,Professional certificate/ diploma,Used in Last Year,nscore,1.13,alcohol
284,296,18-24,F,Left school at 17 years,Used in Last Week,nscore,-0.35,alcohol
285,297,35-44,M,Professional certificate/ diploma,Used in Last Week,nscore,1.37,alcohol
286,300,35-44,F,University degree,Used in Last Week,nscore,0.14,alcohol
287,301,35-44,F,Professional certificate/ diploma,Used in Last Week,nscore,0.83,alcohol
288,302,25-34,F,"Some college or university, no certificate or degree",Used in Last Year,nscore,-0.25,alcohol
289,303,35-44,F,Doctorate degree,Used in Last Day,nscore,0.52,alcohol
290,304,55-64,F,Professional certificate/ diploma,Used in Last Day,nscore,-0.15,alcohol
291,305,45-54,F,University degree,Used in Last Day,nscore,-0.35,alcohol
292,306,45-54,F,University degree,Used in Last Month,nscore,-1.05,alcohol
293,307,35-44,M,Masters degree,Used in Last Week,nscore,0.22,alcohol
294,308,45-54,M,Masters degree,Used in Last Week,nscore,-0.47,alcohol
295,309,35-44,F,Left school at 18 years,Used in Last Week,nscore,-1.69,alcohol
296,310,35-44,M,Masters degree,Used in Last Day,nscore,-0.79,alcohol
297,311,45-54,F,University degree,Used in Last Year,nscore,-1.33,alcohol
298,312,18-24,F,Left school at 16 years,Used in Last Year,nscore,1.13,alcohol
299,313,45-54,F,Masters degree,Used in Last Day,nscore,-0.35,alcohol
300,314,25-34,F,Masters degree,Used in Last Week,nscore,0.04,alcohol
301,315,18-24,F,Left school at 18 years,Used in Last Week,nscore,-0.58,alcohol
302,316,45-54,F,Doctorate degree,Used in Last Week,nscore,-0.79,alcohol
303,317,55-64,F,University degree,Used in Last Week,nscore,-0.47,alcohol
304,318,35-44,M,University degree,Used in Last Week,nscore,-0.79,alcohol
305,319,25-34,F,Professional certificate/ diploma,Used in Last Decade,nscore,0.04,alcohol
306,320,45-54,F,Left school at 16 years,Used in Last Month,nscore,0.31,alcohol
307,321,45-54,F,University degree,Used in Last Week,nscore,0.74,alcohol
308,322,35-44,F,"Some college or university, no certificate or degree",Used in Last Week,nscore,0.52,alcohol
309,323,18-24,F,University degree,Used in Last Week,nscore,-0.79,alcohol
310,324,45-54,M,Left school at 17 years,Used in Last Day,nscore,0.91,alcohol
311,325,25-34,F,Doctorate degree,Used in Last Week,nscore,0.22,alcohol
312,326,35-44,F,Professional certificate/ diploma,Used in Last Week,nscore,-0.79,alcohol
313,327,35-44,M,Left school at 18 years,Used in Last Day,nscore,-0.58,alcohol
314,328,45-54,M,Masters degree,Used in Last Day,nscore,-1.87,alcohol
315,329,25-34,F,Professional certificate/ diploma,Used in Last Week,nscore,0.22,alcohol
316,330,45-54,M,Professional certificate/ diploma,Used in Last Month,nscore,-0.35,alcohol
317,332,35-44,M,Left school before 16 years,Used in Last Day,nscore,-0.25,alcohol
318,334,18-24,F,"Some college or university, no certificate or degree",Used in Last Day,nscore,2.82,alcohol
319,335,65+,M,"Some college or university, no certificate or degree",Used in Last Month,nscore,-1.33,alcohol
320,336,65+,F,Left school at 16 years,Used in Last Month,nscore,-0.15,alcohol
321,337,25-34,F,Masters degree,Used in Last Day,nscore,0.42,alcohol
322,338,45-54,F,Masters degree,Used in Last Week,nscore,0.63,alcohol
323,339,45-54,F,Professional certificate/ diploma,Used in Last Week,nscore,-0.58,alcohol
324,340,35-44,M,Doctorate degree,Used in Last Day,nscore,-1.87,alcohol
325,341,45-54,F,Professional certificate/ diploma,Used in Last Week,nscore,-0.15,alcohol
326,342,35-44,F,Masters degree,Used in Last Week,nscore,-0.47,alcohol
327,343,55-64,F,Professional certificate/ diploma,Used in Last Week,nscore,-1.69,alcohol
328,345,18-24,F,Left school before 16 years,Used in Last Week,nscore,0.22,alcohol
329,347,35-44,F,University degree,Used in Last Decade,nscore,0.04,alcohol
330,348,45-54,F,University degree,Used in Last Day,nscore,-0.15,alcohol
331,349,45-54,M,Masters degree,Used in Last Decade,nscore,-0.92,alcohol
332,350,45-54,M,Professional certificate/ diploma,Used in Last Day,nscore,-0.58,alcohol
333,351,45-54,M,University degree,Used in Last Week,nscore,0.52,alcohol
334,352,35-44,F,"Some college or university, no certificate or degree",Used in Last Month,nscore,1.02,alcohol
335,353,35-44,M,Professional certificate/ diploma,Used in Last Week,nscore,0.42,alcohol
336,355,25-34,M,Left school at 16 years,Used in Last Decade,nscore,-0.47,alcohol
337,356,35-44,M,Professional certificate/ diploma,Used in Last Decade,nscore,0.22,alcohol
338,357,25-34,M,Left school before 16 years,Used in Last Day,nscore,0.63,alcohol
339,358,45-54,M,University degree,Used in Last Day,nscore,-1.19,alcohol
340,359,35-44,M,Left school at 16 years,Used in Last Year,nscore,2.46,alcohol
341,360,35-44,M,"Some college or university, no certificate or degree",Used in Last Decade,nscore,0.42,alcohol
342,361,25-34,F,"Some college or university, no certificate or degree",Used in Last Week,nscore,-0.58,alcohol
343,362,45-54,F,University degree,Used in Last Decade,nscore,0.52,alcohol
344,363,35-44,F,Professional certificate/ diploma,Used in Last Week,nscore,0.63,alcohol
345,364,45-54,M,University degree,Used in Last Decade,nscore,0.42,alcohol
346,365,45-54,F,Professional certificate/ diploma,Used in Last Week,nscore,1.23,alcohol
347,366,35-44,F,Doctorate degree,Used in Last Week,nscore,0.42,alcohol
348,367,45-54,M,Professional certificate/ diploma,Used in Last Week,nscore,-0.15,alcohol
349,369,45-54,F,University degree,Used in Last Week,nscore,-1.19,alcohol
