,ID,age,gender,education,alcohol,variable,value
264,274,25-34,F,University degree,CL6,nscore,0.22393
265,275,35-44,M,Masters degree,CL6,nscore,0.22393
266,276,35-44,F,Masters degree,CL4,nscore,0.41667
267,277,55-64,M,Doctorate degree,CL6,nscore,-0.92104
268,278,25-34,M,"Some college or university, no certificate or degree",CL5,nscore,-1.05308
269,279,45-54,F,University degree,CL5,nscore,-0.24649
270,280,45-54,M,Masters degree,CL5,nscore,-1.32828
271,281,55-64,M,Masters degree,CL6,nscore,-0.05188
272,282,45-54,F,"Some college or university, no certificate or degree",CL5,nscore,0.04257
273,283,45-54,F,Masters degree,CL5,nscore,-0.05188
274,284,45-54,M,University degree,CL6,nscore,-0.92104
275,285,35-44,M,Professional certificate/ diploma,CL3,nscore,-1.1943
276,286,35-44,M,University degree,CL5,nscore,-0.92104
277,287,45-54,F,University degree,CL5,nscore,0.22393
278,288,45-54,M,Masters degree,CL3,nscore,0.31287
279,289,25-34,M,"Some college or university, no certificate or degree",CL6,nscore,0.62967
280,290,25-34,F,Masters degree,CL4,nscore,-2.05048
281,292,35-44,F,"Some college or university, no certificate or degree",CL5,nscore,0.62967
282,293,45-54,F,Professional certificate/ diploma,CL3,nscore,-0.05188
283,295,25-34,F,Professional certificate/ diploma,CL3,nscore,1.13281
284,296,18-24,F,Left school at 17 years,CL5,nscore,-0.34799
285,297,35-44,M,Professional certificate/ diploma,CL5,nscore,1.37297
286,300,35-44,F,University degree,CL5,nscore,0.13606
287,301,35-44,F,Professional certificate/ diploma,CL5,nscore,0.82562
288,302,25-34,F,"Some college or university, no certificate or degree",CL3,nscore,-0.24649
289,303,35-44,F,Doctorate degree,CL6,nscore,0.52135
290,304,55-64,F,Professional certificate/ diploma,CL6,nscore,-0.14882
291,305,45-54,F,University degree,CL6,nscore,-0.34799
292,306,45-54,F,University degree,CL4,nscore,-1.05308
293,307,35-44,M,Masters degree,CL5,nscore,0.22393
294,308,45-54,M,Masters degree,CL5,nscore,-0.46725
295,309,35-44,F,Left school at 18 years,CL5,nscore,-1.69163
296,310,35-44,M,Masters degree,CL6,nscore,-0.79151
297,311,45-54,F,University degree,CL3,nscore,-1.32828
298,312,18-24,F,Left school at 16 years,CL3,nscore,1.13281
299,313,45-54,F,Masters degree,CL6,nscore,-0.34799
300,314,25-34,F,Masters degree,CL5,nscore,0.04257
301,315,18-24,F,Left school at 18 years,CL5,nscore,-0.58016
302,316,45-54,F,Doctorate degree,CL5,nscore,-0.79151
303,317,55-64,F,University degree,CL5,nscore,-0.46725
304,318,35-44,M,University degree,CL5,nscore,-0.79151
305,319,25-34,F,Professional certificate/ diploma,CL2,nscore,0.04257
306,320,45-54,F,Left school at 16 years,CL4,nscore,0.31287
307,321,45-54,F,University degree,CL5,nscore,0.73545
308,322,35-44,F,"Some college or university, no certificate or degree",CL5,nscore,0.52135
309,323,18-24,F,University degree,CL5,nscore,-0.79151
310,324,45-54,M,Left school at 17 years,CL6,nscore,0.91093
311,325,25-34,F,Doctorate degree,CL5,nscore,0.22393
312,326,35-44,F,Professional certificate/ diploma,CL5,nscore,-0.79151
313,327,35-44,M,Left school at 18 years,CL6,nscore,-0.58016
314,328,45-54,M,Masters degree,CL6,nscore,-1.86962
315,329,25-34,F,Professional certificate/ diploma,CL5,nscore,0.22393
316,330,45-54,M,Professional certificate/ diploma,CL4,nscore,-0.34799
317,332,35-44,M,Left school before 16 years,CL6,nscore,-0.24649
318,334,18-24,F,"Some college or university, no certificate or degree",CL6,nscore,2.82196
319,335,65+,M,"Some college or university, no certificate or degree",CL4,nscore,-1.32828
320,336,65+,F,Left school at 16 years,CL4,nscore,-0.14882
321,337,25-34,F,Masters degree,CL6,nscore,0.41667
322,338,45-54,F,Masters degree,CL5,nscore,0.62967
323,339,45-54,F,Professional certificate/ diploma,CL5,nscore,-0.58016
324,340,35-44,M,Doctorate degree,CL6,nscore,-1.86962
325,341,45-54,F,Professional certificate/ diploma,CL5,nscore,-0.14882
326,342,35-44,F,Masters degree,CL5,nscore,-0.46725
327,343,55-64,F,Professional certificate/ diploma,CL5,nscore,-1.69163
328,345,18-24,F,Left school before 16 years,CL5,nscore,0.22393
329,347,35-44,F,University degree,CL2,nscore,0.04257
330,348,45-54,F,University degree,CL6,nscore,-0.14882
331,349,45-54,M,Masters degree,CL2,nscore,-0.92104
332,350,45-54,M,Professional certificate/ diploma,CL6,nscore,-0.58016
333,351,45-54,M,University degree,CL5,nscore,0.52135
334,352,35-44,F,"Some college or university, no certificate or degree",CL4,nscore,1.02119
335,353,35-44,M,Professional certificate/ diploma,CL5,nscore,0.41667
336,355,25-34,M,Left school at 16 years,CL2,nscore,-0.46725
337,356,35-44,M,Professional certificate/ diploma,CL2,nscore,0.22393
338,357,25-34,M,Left school before 16 years,CL6,nscore,0.62967
339,358,45-54,M,University degree,CL6,nscore,-1.1943
340,359,35-44,M,Left school at 16 years,CL3,nscore,2.46262
341,360,35-44,M,"Some college or university, no certificate or degree",CL2,nscore,0.41667
342,361,25-34,F,"Some college or university, no certificate or degree",CL5,nscore,-0.58016
343,362,45-54,F,University degree,CL2,nscore,0.52135
344,363,35-44,F,Professional certificate/ diploma,CL5,nscore,0.62967
345,364,45-54,M,University degree,CL2,nscore,0.41667
346,365,45-54,F,Professional certificate/ diploma,CL5,nscore,1.23461
347,366,35-44,F,Doctorate degree,CL5,nscore,0.41667
348,367,45-54,M,Professional certificate/ diploma,CL5,nscore,-0.14882
349,369,45-54,F,University degree,CL5,nscore,-1.1943
350,370,25-34,M,Professional certificate/ diploma,CL6,nscore,-0.05188
351,371,25-34,F,University degree,CL3,nscore,1.23461
352,372,18-24,M,Left school at 18 years,CL5,nscore,0.22393
353,373,35-44,F,University degree,CL5,nscore,1.02119
354,374,18-24,F,"Some college or university, no certificate or degree",CL5,nscore,0.91093
355,375,45-54,M,University degree,CL6,nscore,-0.34799
356,376,55-64,F,Masters degree,CL6,nscore,-0.24649
357,377,65+,M,Professional certificate/ diploma,CL6,nscore,0.13606
358,378,45-54,F,Masters degree,CL5,nscore,-0.92104
359,379,25-34,F,University degree,CL5,nscore,-0.46725
360,381,45-54,F,Professional certificate/ diploma,CL6,nscore,0.82562
361,382,35-44,M,University degree,CL2,nscore,-0.46725
362,383,35-44,M,Left school at 16 years,CL4,nscore,-0.34799
363,384,35-44,F,Masters degree,CL5,nscore,-0.79151
364,385,45-54,F,University degree,CL5,nscore,0.13606
365,387,25-34,M,Professional certificate/ diploma,CL5,nscore,-0.58016
366,388,45-54,M,Left school at 18 years,CL4,nscore,-2.05048
367,390,35-44,M,Professional certificate/ diploma,CL3,nscore,0.13606
368,391,25-34,M,Doctorate degree,CL5,nscore,-0.58016
369,392,35-44,F,"Some college or university, no certificate or degree",CL2,nscore,-0.67825
370,393,25-34,F,University degree,CL5,nscore,0.62967
371,394,35-44,F,Left school at 17 years,CL5,nscore,-0.46725
372,395,25-34,F,Professional certificate/ diploma,CL6,nscore,-0.79151
373,396,25-34,M,Professional certificate/ diploma,CL6,nscore,-1.43907
374,397,35-44,M,University degree,CL6,nscore,0.22393
375,398,35-44,F,University degree,CL6,nscore,-1.86962
376,399,45-54,M,Professional certificate/ diploma,CL6,nscore,0.13606
377,400,25-34,F,Masters degree,CL6,nscore,-0.79151
378,402,25-34,F,Left school at 18 years,CL4,nscore,-0.14882
379,403,45-54,M,Left school at 16 years,CL5,nscore,0.13606
380,404,18-24,M,"Some college or university, no certificate or degree",CL5,nscore,-0.92104
381,405,18-24,M,University degree,CL5,nscore,-1.43907
382,406,45-54,M,Left school at 17 years,CL3,nscore,0.91093
383,407,18-24,F,Left school before 16 years,CL5,nscore,0.13606
384,408,45-54,F,University degree,CL3,nscore,1.8399
385,409,35-44,M,Left school at 17 years,CL6,nscore,1.37297
386,410,25-34,M,University degree,CL3,nscore,-0.67825
387,412,45-54,M,Left school at 18 years,CL5,nscore,1.02119
388,413,35-44,F,"Some college or university, no certificate or degree",CL3,nscore,-0.46725
389,414,25-34,F,University degree,CL6,nscore,0.13606
390,415,35-44,M,"Some college or university, no certificate or degree",CL5,nscore,0.04257
391,416,35-44,F,"Some college or university, no certificate or degree",CL6,nscore,-1.86962
392,417,18-24,M,Left school at 18 years,CL6,nscore,-0.58016
393,418,18-24,M,"Some college or university, no certificate or degree",CL5,nscore,-0.05188
394,419,25-34,M,"Some college or university, no certificate or degree",CL5,nscore,-0.79151
395,420,25-34,F,Doctorate degree,CL6,nscore,0.31287
396,421,25-34,M,University degree,CL6,nscore,0.62967
397,422,18-24,M,Left school at 18 years,CL4,nscore,0.31287
398,423,25-34,M,"Some college or university, no certificate or degree",CL5,nscore,0.31287
399,424,35-44,M,Professional certificate/ diploma,CL4,nscore,-0.79151
400,425,35-44,F,University degree,CL6,nscore,-1.05308
401,426,45-54,F,Doctorate degree,CL3,nscore,0.52135
402,427,35-44,M,University degree,CL6,nscore,-0.34799
403,428,45-54,M,Left school at 16 years,CL5,nscore,0.22393
404,429,35-44,M,University degree,CL6,nscore,0.62967
405,430,25-34,F,Left school at 18 years,CL5,nscore,-0.92104
406,431,25-34,M,Left school before 16 years,CL5,nscore,0.22393
407,432,25-34,F,Left school at 18 years,CL5,nscore,0.04257
408,433,25-34,M,University degree,CL5,nscore,-0.24649
409,434,45-54,F,Left school at 16 years,CL6,nscore,0.22393
410,435,18-24,F,University degree,CL5,nscore,-0.14882
411,436,25-34,F,University degree,CL4,nscore,0.04257
412,438,45-54,M,Left school at 16 years,CL6,nscore,-1.43907
413,439,25-34,F,University degree,CL5,nscore,2.82196
414,440,18-24,F,"Some college or university, no certificate or degree",CL4,nscore,1.37297
415,441,35-44,F,University degree,CL6,nscore,-0.46725
416,442,18-24,F,"Some college or university, no certificate or degree",CL3,nscore,-0.67825
417,443,25-34,F,Masters degree,CL5,nscore,-0.92104
418,444,35-44,M,Left school at 16 years,CL5,nscore,0.41667
419,445,45-54,F,Professional certificate/ diploma,CL5,nscore,-0.46725
420,446,45-54,F,University degree,CL5,nscore,1.02119
421,447,25-34,F,University degree,CL6,nscore,0.22393
422,448,25-34,M,Masters degree,CL6,nscore,0.04257
423,449,18-24,F,"Some college or university, no certificate or degree",CL5,nscore,1.13281
424,450,18-24,M,University degree,CL5,nscore,-0.34799
425,451,18-24,F,University degree,CL5,nscore,0.73545
426,452,18-24,F,Masters degree,CL5,nscore,-1.1943
427,453,35-44,F,University degree,CL5,nscore,-0.14882
428,454,25-34,M,University degree,CL5,nscore,1.23461
429,455,45-54,M,Doctorate degree,CL6,nscore,-0.14882
430,456,18-24,F,University degree,CL6,nscore,0.82562
431,457,35-44,M,University degree,CL6,nscore,1.60383
432,458,35-44,F,Masters degree,CL5,nscore,-0.46725
433,459,18-24,F,University degree,CL6,nscore,0.62967
434,460,25-34,M,Masters degree,CL4,nscore,0.91093
435,461,18-24,F,University degree,CL6,nscore,1.23461
436,462,18-24,M,"Some college or university, no certificate or degree",CL5,nscore,1.49158
437,463,35-44,M,"Some college or university, no certificate or degree",CL3,nscore,0.82562
438,464,45-54,M,Left school at 18 years,CL6,nscore,1.02119
439,465,18-24,F,University degree,CL5,nscore,0.31287
