,no,age,gender,education,country,ethnicity,Nscore,Escore,Oscore,AScore,Cscore,Alcohol,value,freq
198,1284,18-24,F,5,USA,White,0.82562,-2.03972,0.44585,-1.21213,-1.92173,Used in Last Month,1,4
200,1350,18-24,F,5,UK,White,-1.05308,2.57309,0.29338,-1.21213,-1.25773,Used in Last Week,1,5
202,1371,25-34,F,6,USA,White,2.46262,0.16767,0.14143,-1.21213,-1.5184,Used in Last Month,1,4
208,1774,25-34,F,8,USA,White,0.91093,0.63779,-0.45174,-1.21213,-0.78155,Used in Last Day,1,6
213,121,25-34,F,8,UK,White,-1.05308,0.63779,-0.97631,-1.07533,0.7583,Used in Last Day,1,6
215,321,45-54,F,7,UK,White,0.73545,-0.30033,-0.58331,-1.07533,-0.14277,Used in Last Week,1,5
217,489,35-44,F,4,USA,White,1.8399,-1.7625,1.24033,-1.07533,0.25953,Used in Last Month,1,4
218,553,35-44,F,8,UK,White,-0.79151,1.2861,0.14143,-1.07533,1.13407,Used in Last Month,1,4
219,563,35-44,F,7,UK,White,0.62967,0.63779,0.44585,-1.07533,0.7583,Used in Last Week,1,5
222,636,35-44,F,9,UK,White,1.23461,0.16767,-0.01928,-1.07533,-0.65253,Used in Last Day,1,6
224,809,18-24,F,5,USA,White,1.02119,0.80523,1.06238,-1.07533,-0.52745,Used in Last Day,1,6
226,845,25-34,F,5,USA,White,0.52135,-0.43999,0.14143,-1.07533,-0.27607,Used in Last Day,1,6
229,896,25-34,F,3,UK,White,3.27393,-2.11437,-0.84732,-1.07533,-2.30408,Used in Last Day,1,6
230,906,35-44,F,7,USA,White,1.02119,-0.30033,1.06238,-1.07533,0.41594,Used in Last Day,1,6
235,1031,18-24,F,7,UK,White,0.52135,-0.94779,-0.84732,-1.07533,-0.40581,Used in Last Week,1,5
238,1142,25-34,F,7,Australia,White,1.60383,-1.6334,0.7233,-1.07533,-1.5184,Used in Last Month,1,4
244,1243,25-34,F,7,UK,White,-1.32828,0.80523,-1.27553,-1.07533,-0.14277,Used in Last Year,1,3
245,1253,35-44,F,3,UK,White,0.31287,-1.6334,-1.97495,-1.07533,-1.38502,Used in Last Week,1,5
246,1289,18-24,F,5,USA,White,-0.05188,0.96248,-0.01928,-1.07533,-0.40581,Used in Last Month,1,4
250,1451,25-34,F,8,UK,White,-1.05308,1.11406,0.88309,-1.07533,1.46191,Used in Last Week,1,5
254,1631,35-44,F,7,UK,White,-0.14882,0.47617,0.88309,-1.07533,-1.0145,Used in Last Day,1,6
255,1637,45-54,F,6,UK,White,0.04257,0.63779,-1.68062,-1.07533,-0.00665,Used in Last Month,1,4
257,1713,35-44,F,8,UK,White,-0.79151,0.63779,-0.84732,-1.07533,0.25953,Used in Last Week,1,5
258,1752,25-34,F,7,USA,White,1.98437,0.63779,1.43533,-1.07533,-0.65253,Used in Last Week,1,5
259,1784,25-34,F,5,UK,Mixed-White/Black,1.23461,-0.80615,-0.84732,-1.07533,-0.89891,Used in Last Week,1,5
263,1831,25-34,F,7,Australia,White,0.13606,-2.32338,0.29338,-1.07533,-0.89891,Used in Last Day,1,6
265,1867,18-24,F,5,USA,White,0.62967,0.63779,2.90161,-1.07533,0.93949,Used in Last Week,1,5
267,50,25-34,F,8,UK,Mixed-White/Black,0.82562,-0.57545,-1.97495,-0.91699,0.25953,Used in Last Day,1,6
270,82,55-64,F,7,UK,White,-0.79151,-1.23177,-0.01928,-0.91699,-0.14277,Used in Last Week,1,5
271,110,45-54,F,5,UK,White,-0.79151,0.47617,-1.42424,-0.91699,-0.52745,Used in Last Week,1,5
272,149,35-44,F,6,UK,White,-0.05188,-1.09207,-2.63199,-0.91699,0.25953,Used in Last Month,1,4
273,178,35-44,F,7,UK,White,1.49158,0.00332,-1.27553,-0.91699,1.13407,Used in Last Week,1,5
274,198,55-64,F,7,UK,White,-0.34799,0.47617,-0.71727,-0.91699,-0.52745,Used in Last Week,1,5
276,206,35-44,F,2,UK,White,-0.14882,1.11406,0.29338,-0.91699,-1.0145,Used in Last Week,1,5
277,235,25-34,F,7,UK,White,0.41667,0.96248,-0.01928,-0.91699,1.63088,Used in Last Month,1,4
279,261,45-54,F,6,UK,White,-0.46725,0.96248,2.15324,-0.91699,-0.00665,Used in Last Week,1,5
281,325,25-34,F,9,UK,White,0.22393,0.00332,1.43533,-0.91699,0.93949,Used in Last Week,1,5
286,446,45-54,F,7,UK,White,1.02119,-0.94779,-0.58331,-0.91699,0.41594,Used in Last Week,1,5
287,542,45-54,F,7,UK,White,-1.05308,0.32197,-0.17779,-0.91699,0.12331,Used in Last Week,1,5
289,571,35-44,F,9,UK,White,-0.34799,0.80523,-0.17779,-0.91699,2.63199,Used in Last Day,1,6
290,590,55-64,F,5,USA,White,-1.32828,-0.15487,0.29338,-0.91699,0.41594,Used in Last Decade,1,2
291,616,25-34,F,1,USA,White,-0.24649,0.63779,-0.71727,-0.91699,0.25953,Used in Last Year,1,3
293,627,35-44,F,6,UK,White,-0.34799,-0.57545,-0.58331,-0.91699,0.25953,Used in Last Day,1,6
294,634,18-24,F,7,UK,White,1.23461,-0.43999,-1.27553,-0.91699,0.7583,Used in Last Week,1,5
297,744,35-44,F,7,UK,White,0.62967,0.16767,-0.71727,-0.91699,-0.89891,Used in Last Week,1,5
302,884,25-34,F,5,USA,White,-1.1943,1.45421,1.24033,-0.91699,-0.14277,Used in Last Decade,1,2
303,901,18-24,F,5,USA,White,1.8399,-0.94779,-0.97631,-0.91699,-1.0145,Used in Last Day,1,6
304,912,25-34,F,5,USA,Other,1.37297,0.47617,1.06238,-0.91699,-1.78169,Used in Last Day,1,6
308,1079,25-34,F,7,USA,White,1.8399,-1.92173,1.88511,-0.91699,0.25953,Used in Last Year,1,3
309,1101,18-24,F,5,USA,White,0.04257,-0.43999,-0.01928,-0.91699,-0.65253,Used in Last Month,1,4
310,1106,18-24,F,4,USA,White,-1.05308,0.32197,1.88511,-0.91699,-1.78169,Used in Last Week,1,5
316,1216,35-44,F,6,UK,White,0.73545,0.47617,-1.42424,-0.91699,0.12331,Used in Last Day,1,6
318,1258,25-34,F,8,UK,White,1.49158,-1.23177,-0.71727,-0.91699,-0.00665,Used in Last Day,1,6
319,1278,25-34,F,5,USA,Mixed-White/Asian,-0.05188,1.45421,2.15324,-0.91699,-0.52745,Used in Last Week,1,5
320,1297,18-24,F,5,USA,White,-0.34799,0.47617,-0.17779,-0.91699,1.30612,Used in Last Day,1,6
321,1333,18-24,F,6,Canada,White,1.8399,-1.37639,-1.82919,-0.91699,2.33337,Used in Last Month,1,4
326,1466,25-34,F,5,USA,Mixed-Black/Asian,0.73545,-0.57545,-0.31776,-0.91699,-0.14277,Used in Last Year,1,3
330,1552,55-64,F,6,UK,White,0.41667,-1.50796,-1.82919,-0.91699,-0.40581,Used in Last Year,1,3
331,1561,25-34,F,8,UK,Asian,0.73545,0.16767,-0.71727,-0.91699,1.13407,Used in Last Month,1,4
332,1568,45-54,F,6,UK,White,2.46262,-2.5383,-0.31776,-0.91699,-0.78155,Used in Last Month,1,4
333,1582,45-54,F,6,UK,White,0.62967,-1.50796,-2.39883,-0.91699,0.12331,Used in Last Week,1,5
335,1606,25-34,F,7,UK,Asian,-0.24649,2.127,-2.21069,-0.91699,-0.14277,Never Used,1,1
339,1711,35-44,F,4,UK,White,-0.79151,-0.80615,0.7233,-0.91699,0.25953,Used in Last Month,1,4
341,1848,18-24,F,7,USA,White,1.60383,-0.94779,1.24033,-0.91699,-1.38502,Used in Last Day,1,6
344,11,25-34,F,7,UK,White,-1.05308,0.80523,-1.11902,-0.76096,1.81175,Used in Last Week,1,5
345,27,55-64,F,4,Canada,White,-0.05188,-1.6334,-3.27393,-0.76096,0.58489,Used in Last Day,1,6
346,40,65+,F,6,UK,White,-0.24649,-0.94779,-1.11902,-0.76096,0.41594,Used in Last Day,1,6
348,89,35-44,F,5,UK,White,0.31287,-1.92173,-1.42424,-0.76096,-0.52745,Used in Last Year,1,3
350,108,35-44,F,2,UK,White,0.13606,0.00332,-1.27553,-0.76096,0.58489,Used in Last Week,1,5
352,184,18-24,F,7,UK,White,1.98437,-0.43999,0.29338,-0.76096,0.93949,Used in Last Day,1,6
353,222,25-34,F,7,UK,White,-0.14882,0.47617,-0.45174,-0.76096,0.93949,Used in Last Year,1,3
355,270,35-44,F,8,UK,Black,-0.92104,0.16767,-0.84732,-0.76096,0.12331,Used in Last Month,1,4
356,292,35-44,F,5,UK,White,0.62967,-1.09207,0.44585,-0.76096,-0.40581,Used in Last Week,1,5
357,295,25-34,F,6,UK,White,1.13281,0.00332,-0.17779,-0.76096,-0.40581,Used in Last Year,1,3
358,304,55-64,F,6,UK,White,-0.14882,0.63779,-0.01928,-0.76096,-0.40581,Used in Last Day,1,6
365,456,18-24,F,7,UK,White,0.82562,-0.80615,0.7233,-0.76096,-2.57309,Used in Last Day,1,6
366,475,35-44,F,5,USA,White,1.37297,0.00332,-0.45174,-0.76096,-0.52745,Used in Last Decade,1,2
367,502,35-44,F,6,Republic of Ireland,White,0.04257,0.47617,-0.84732,-0.76096,1.13407,Used in Last Year,1,3
368,505,55-64,F,6,Canada,White,0.04257,-0.30033,-0.31776,-0.76096,0.58489,Used over a Decade Ago,1,Used over a Decade Ago
370,522,35-44,F,7,UK,White,0.22393,-0.30033,-0.97631,-0.76096,0.93949,Used in Last Week,1,5
372,545,25-34,F,7,UK,White,0.82562,0.63779,-0.97631,-0.76096,0.25953,Used in Last Day,1,6
373,546,18-24,F,2,UK,White,1.23461,-0.57545,-0.71727,-0.76096,-1.0145,Used in Last Week,1,5
374,598,55-64,F,6,Canada,White,-0.34799,-0.43999,-0.31776,-0.76096,0.58489,Used over a Decade Ago,1,Used over a Decade Ago
380,835,45-54,F,9,USA,White,0.04257,0.16767,-0.01928,-0.76096,-0.78155,Used in Last Day,1,6
381,875,18-24,F,5,UK,White,1.49158,-1.7625,0.14143,-0.76096,-2.42317,Used in Last Month,1,4
394,1220,25-34,F,8,USA,White,0.31287,1.2861,-0.17779,-0.76096,-1.0145,Used in Last Week,1,5
395,1294,25-34,F,8,USA,White,0.73545,2.127,1.24033,-0.76096,1.46191,Used in Last Day,1,6
396,1295,18-24,F,5,USA,White,1.8399,-2.21069,0.7233,-0.76096,-1.0145,Used in Last Week,1,5
398,1338,18-24,F,7,UK,Black,0.13606,0.00332,-0.45174,-0.76096,0.7583,Used in Last Day,1,6
400,1414,25-34,F,7,UK,White,1.02119,-0.69509,-0.31776,-0.76096,0.7583,Used in Last Week,1,5
402,1508,18-24,F,2,UK,White,2.82196,-2.44904,1.06238,-0.76096,-2.18109,Used in Last Month,1,4
404,1560,18-24,F,7,UK,Mixed-White/Black,-0.92104,-0.15487,-0.84732,-0.76096,1.30612,Used in Last Week,1,5
405,1565,35-44,F,7,UK,White,-0.05188,1.74091,-2.8595,-0.76096,2.63199,Used in Last Day,1,6
412,1727,25-34,F,8,UK,White,0.13606,0.32197,0.58331,-0.76096,-0.52745,Used in Last Week,1,5
414,1797,35-44,F,2,UK,White,0.73545,-0.57545,-2.09015,-0.76096,-1.92173,Used in Last Decade,1,2
417,1871,18-24,F,5,USA,White,1.13281,-0.43999,0.29338,-0.76096,-0.14277,Used in Last Day,1,6
420,15,55-64,F,6,UK,White,-0.92104,1.45421,0.44585,-0.60633,1.63088,Used in Last Day,1,6
423,90,35-44,F,8,UK,White,0.91093,-0.57545,0.29338,-0.60633,-0.27607,Used in Last Week,1,5
424,98,45-54,F,8,UK,White,-0.46725,0.63779,-0.31776,-0.60633,-1.13788,Used in Last Week,1,5
427,153,25-34,F,7,UK,White,-0.46725,-1.50796,-0.71727,-0.60633,-0.65253,Used in Last Week,1,5
429,239,18-24,F,4,UK,White,0.52135,-0.15487,-0.71727,-0.60633,0.25953,Used in Last Month,1,4
430,293,45-54,F,6,UK,White,-0.05188,-0.15487,-0.58331,-0.60633,0.41594,Used in Last Year,1,3
431,296,18-24,F,3,UK,White,-0.34799,0.47617,-0.17779,-0.60633,-0.14277,Used in Last Week,1,5
434,395,25-34,F,6,UK,White,-0.79151,-0.15487,-2.21069,-0.60633,1.46191,Used in Last Day,1,6
438,575,55-64,F,5,USA,White,-0.92104,0.96248,0.44585,-0.60633,-0.40581,Used in Last Week,1,5
441,618,45-54,F,5,USA,White,1.02119,0.16767,-0.17779,-0.60633,-1.0145,Used in Last Decade,1,2
445,675,18-24,F,8,UK,Asian,0.82562,-0.69509,-0.58331,-0.60633,-1.0145,Used in Last Year,1,3
453,730,25-34,F,2,Australia,White,-0.58016,0.32197,0.14143,-0.60633,0.12331,Used in Last Day,1,6
461,867,18-24,F,5,USA,White,-0.14882,1.11406,-0.58331,-0.60633,-0.78155,Used in Last Week,1,5
464,904,25-34,F,8,USA,White,0.22393,-0.69509,0.29338,-0.60633,-1.13788,Used in Last Day,1,6
465,940,18-24,F,7,UK,White,0.31287,0.32197,-0.01928,-0.60633,0.7583,Used in Last Week,1,5
466,972,35-44,F,7,Canada,White,0.22393,0.00332,-0.17779,-0.60633,-0.52745,Used in Last Week,1,5
467,981,25-34,F,9,USA,Asian,0.62967,0.16767,0.7233,-0.60633,-0.27607,Used in Last Month,1,4
470,1035,18-24,F,5,UK,White,1.23461,-0.57545,0.44585,-0.60633,-1.0145,Used in Last Day,1,6
473,1096,25-34,F,7,Australia,White,-1.43907,1.74091,-0.84732,-0.60633,0.58489,Used in Last Day,1,6
475,1158,18-24,F,5,UK,White,0.22393,-0.15487,-0.31776,-0.60633,0.41594,Used in Last Year,1,3
480,1259,25-34,F,9,UK,White,-0.92104,0.80523,-0.58331,-0.60633,-0.00665,Used in Last Year,1,3
487,1387,45-54,F,5,UK,White,-0.05188,-0.94779,1.06238,-0.60633,-0.27607,Used in Last Day,1,6
488,1388,25-34,F,9,USA,White,0.52135,0.32197,1.65653,-0.60633,-0.65253,Never Used,1,1
489,1389,35-44,F,6,UK,White,0.62967,0.47617,0.44585,-0.60633,-0.89891,Used in Last Week,1,5
491,1401,25-34,F,8,UK,White,1.02119,0.96248,-0.97631,-0.60633,-0.14277,Used in Last Week,1,5
494,1448,25-34,F,8,UK,White,0.04257,0.63779,-1.11902,-0.60633,1.81175,Used in Last Month,1,4
500,1536,35-44,F,5,Republic of Ireland,White,0.31287,0.00332,-0.84732,-0.60633,-0.52745,Used in Last Week,1,5
502,1553,45-54,F,5,UK,White,-0.14882,-0.94779,-1.27553,-0.60633,0.41594,Used in Last Day,1,6
503,1563,45-54,F,1,UK,White,0.22393,-0.30033,-1.27553,-0.60633,-0.27607,Used over a Decade Ago,1,Used over a Decade Ago
504,1588,35-44,F,6,UK,White,-0.34799,0.80523,-1.68062,-0.60633,0.41594,Used in Last Week,1,5
507,1657,18-24,F,7,UK,White,1.72012,-1.23177,-0.71727,-0.60633,0.12331,Used in Last Month,1,4
514,1819,25-34,F,7,USA,White,0.13606,0.63779,0.58331,-0.60633,-0.14277,Used in Last Week,1,5
516,1869,18-24,F,6,USA,White,0.04257,0.00332,2.44904,-0.60633,-2.18109,Used in Last Week,1,5
519,56,55-64,F,6,UK,White,0.04257,-0.69509,-1.11902,-0.45321,-0.40581,Used in Last Year,1,3
524,155,18-24,F,5,UK,White,2.82196,-1.37639,0.7233,-0.45321,0.58489,Used in Last Week,1,5
527,168,25-34,F,6,UK,Black,0.04257,0.00332,-0.97631,-0.45321,0.93949,Used in Last Decade,1,2
528,173,45-54,F,6,UK,White,0.52135,-0.57545,-0.45174,-0.45321,0.7583,Used in Last Week,1,5
530,226,35-44,F,7,UK,White,-1.32828,0.63779,0.88309,-0.45321,0.25953,Used in Last Day,1,6
531,232,65+,F,8,UK,White,0.13606,-1.09207,-0.45174,-0.45321,0.25953,Used in Last Day,1,6
534,317,55-64,F,7,UK,White,-0.46725,0.80523,1.06238,-0.45321,-0.78155,Used in Last Week,1,5
538,420,25-34,F,9,UK,White,0.31287,0.00332,1.06238,-0.45321,0.41594,Used in Last Day,1,6
539,466,18-24,F,8,UK,White,1.37297,-1.09207,-0.01928,-0.45321,-0.40581,Used in Last Week,1,5
541,519,25-34,F,8,UK,White,0.31287,-0.15487,0.29338,-0.45321,0.93949,Used in Last Decade,1,2
542,523,45-54,F,2,Australia,White,0.62967,-0.30033,-0.84732,-0.45321,0.12331,Used in Last Year,1,3
543,549,25-34,F,8,UK,White,-1.86962,-0.69509,-0.97631,-0.45321,2.04506,Used in Last Week,1,5
548,707,18-24,F,7,UK,White,-0.14882,-0.94779,-1.42424,-0.45321,0.25953,Used in Last Month,1,4
557,882,18-24,F,1,USA,White,0.62967,-0.15487,0.88309,-0.45321,-1.38502,Used in Last Week,1,5
560,951,18-24,F,7,USA,White,0.62967,0.00332,0.44585,-0.45321,-0.65253,Used in Last Day,1,6
563,1021,35-44,F,5,USA,White,0.91093,-1.37639,-1.42424,-0.45321,-0.78155,Used in Last Year,1,3
564,1023,18-24,F,5,UK,White,2.127,-2.72827,-1.11902,-0.45321,-2.42317,Used in Last Week,1,5
568,1085,18-24,F,8,UK,White,0.62967,1.11406,-0.84732,-0.45321,-1.25773,Used in Last Day,1,6
569,1190,55-64,F,9,USA,White,-0.34799,0.47617,0.44585,-0.45321,-0.00665,Used in Last Day,1,6
573,1231,18-24,F,4,USA,White,0.13606,0.16767,1.06238,-0.45321,-0.14277,Used in Last Day,1,6
576,1251,35-44,F,8,UK,White,-0.92104,-0.15487,0.44585,-0.45321,1.13407,Used in Last Day,1,6
577,1252,45-54,F,9,UK,Mixed-White/Asian,0.73545,-0.15487,1.24033,-0.45321,0.7583,Used in Last Day,1,6
578,1255,25-34,F,7,UK,Other,0.04257,-0.80615,-0.31776,-0.45321,-0.65253,Used in Last Year,1,3
579,1288,35-44,F,7,USA,White,-0.58016,0.47617,2.15324,-0.45321,-0.14277,Used in Last Day,1,6
580,1313,35-44,F,8,USA,White,-1.05308,1.93886,0.88309,-0.45321,1.81175,Used in Last Day,1,6
584,1381,25-34,F,7,UK,White,-1.1943,0.80523,-0.97631,-0.45321,0.58489,Used in Last Week,1,5
586,1400,25-34,F,7,UK,White,0.82562,-0.80615,-0.58331,-0.45321,-0.27607,Used in Last Week,1,5
588,1433,45-54,F,9,UK,White,-1.05308,-1.23177,-0.71727,-0.45321,0.58489,Used in Last Day,1,6
590,1492,18-24,F,8,UK,White,-0.05188,1.11406,-1.42424,-0.45321,-0.78155,Used in Last Week,1,5
592,1499,45-54,F,1,USA,White,0.62967,-0.15487,-0.45174,-0.45321,-1.0145,Used in Last Week,1,5
595,1539,18-24,F,5,USA,Other,0.04257,1.74091,-0.58331,-0.45321,2.33337,Used in Last Month,1,4
596,1577,35-44,F,5,UK,White,-0.24649,0.16767,-1.82919,-0.45321,0.41594,Used in Last Month,1,4
597,1579,45-54,F,7,UK,White,-1.05308,-0.15487,-1.11902,-0.45321,0.58489,Used in Last Year,1,3
601,1756,18-24,F,4,USA,White,1.02119,1.45421,2.44904,-0.45321,1.13407,Used in Last Week,1,5
602,1815,35-44,F,7,Canada,White,0.91093,-0.69509,2.44904,-0.45321,1.46191,Used in Last Decade,1,2
606,1864,55-64,F,7,Canada,White,-1.69163,-1.09207,1.06238,-0.45321,-0.65253,Used in Last Week,1,5
607,5,35-44,F,9,UK,White,0.73545,-1.6334,-0.45174,-0.30172,1.30612,Used in Last Month,1,4
611,61,25-34,F,9,UK,White,1.37297,0.32197,0.29338,-0.30172,-0.27607,Used in Last Week,1,5
614,104,45-54,F,6,Canada,White,0.04257,0.63779,-0.31776,-0.30172,0.12331,Used in Last Month,1,4
617,159,35-44,F,7,Australia,White,-0.24649,0.16767,-0.31776,-0.30172,0.41594,Used in Last Year,1,3
618,169,25-34,F,7,UK,White,0.22393,1.2861,-1.27553,-0.30172,-1.13788,Used in Last Week,1,5
619,196,55-64,F,7,UK,White,0.62967,0.32197,0.7233,-0.30172,0.93949,Used in Last Week,1,5
620,209,35-44,F,7,UK,White,0.13606,0.00332,-0.17779,-0.30172,-0.00665,Used in Last Month,1,4
625,312,18-24,F,2,UK,White,1.13281,-0.57545,-1.97495,-0.30172,-0.14277,Used in Last Year,1,3
