,no,age,gender,education,country,ethnicity,Nscore,Escore,Oscore,AScore,Cscore,Alcohol,value,freq
89,792,18-24,M,5,USA,White,0.62967,-0.15487,0.58331,-1.6209,-0.14277,Used in Last Week,1,5
90,815,25-34,M,7,USA,White,0.52135,-0.57545,0.7233,-1.6209,0.41594,Used in Last Year,1,3
91,866,18-24,M,5,Republic of Ireland,White,1.60383,-0.57545,-0.17779,-1.6209,-0.65253,Used in Last Day,1,6
92,873,18-24,M,8,USA,White,0.22393,1.58487,0.14143,-1.6209,-1.0145,Used in Last Week,1,5
93,915,35-44,M,7,USA,White,0.31287,-1.50796,-1.68062,-1.6209,0.7583,Used in Last Year,1,3
94,1018,25-34,M,5,USA,White,0.31287,-2.5383,-0.84732,-1.6209,-2.57309,Used in Last Day,1,6
95,1128,55-64,M,3,USA,White,0.52135,-0.43999,-0.58331,-1.6209,0.58489,Used in Last Year,1,3
98,1293,25-34,M,5,USA,White,1.8399,-1.09207,0.44585,-1.6209,-1.25773,Used in Last Week,1,5
100,1655,55-64,M,2,UK,White,0.31287,-0.30033,-0.71727,-1.6209,0.41594,Used in Last Week,1,5
102,1782,18-24,M,4,Canada,White,-1.43907,-0.57545,-1.55521,-1.6209,1.30612,Used in Last Week,1,5
103,1844,45-54,M,9,UK,White,-0.24649,-0.80615,-0.01928,-1.6209,-0.14277,Used in Last Week,1,5
105,31,45-54,M,2,UK,White,0.31287,-0.80615,-1.27553,-1.47955,-0.65253,Used in Last Day,1,6
108,259,65+,M,9,UK,White,0.52135,-0.15487,-0.45174,-1.47955,1.81175,Used in Last Week,1,5
109,397,35-44,M,7,UK,White,0.22393,1.2861,-0.45174,-1.47955,-0.78155,Used in Last Day,1,6
110,399,45-54,M,6,UK,White,0.13606,0.47617,-0.84732,-1.47955,0.41594,Used in Last Day,1,6
111,605,25-34,M,7,USA,White,-0.67825,-0.80615,-0.45174,-1.47955,0.12331,Used in Last Week,1,5
112,691,55-64,M,5,UK,White,0.41667,-0.69509,-1.42424,-1.47955,-0.14277,Used in Last Day,1,6
113,697,55-64,M,7,UK,White,-0.79151,0.32197,0.44585,-1.47955,1.46191,Used in Last Week,1,5
114,735,18-24,M,5,UK,White,0.73545,1.11406,1.43533,-1.47955,-1.78169,Used in Last Day,1,6
115,737,25-34,M,7,UK,White,-0.46725,-1.7625,-2.8595,-1.47955,-1.13788,Used in Last Day,1,6
116,956,18-24,M,6,USA,White,1.8399,-0.57545,-0.01928,-1.47955,-2.90161,Used in Last Month,1,4
117,970,18-24,M,5,USA,Black,-1.55078,1.2861,1.06238,-1.47955,0.93949,Used in Last Day,1,6
118,1064,25-34,M,5,USA,White,-1.69163,-0.15487,0.88309,-1.47955,0.41594,Used in Last Week,1,5
119,1148,25-34,M,7,USA,White,-2.75696,-0.43999,-1.11902,-1.47955,0.93949,Used in Last Week,1,5
120,1149,35-44,M,6,USA,White,1.8399,-0.94779,0.14143,-1.47955,-1.25773,Used in Last Year,1,3
122,1287,18-24,M,5,USA,White,0.73545,0.47617,-0.71727,-1.47955,-0.52745,Used in Last Year,1,3
126,1496,18-24,M,5,UK,White,0.91093,-3.27393,-0.45174,-1.47955,-1.78169,Used in Last Week,1,5
128,1614,25-34,M,5,UK,White,-2.52197,2.32338,0.29338,-1.47955,0.58489,Used in Last Month,1,4
129,1638,18-24,M,5,USA,White,1.8399,-1.23177,0.14143,-1.47955,-1.0145,Used in Last Week,1,5
130,1652,55-64,M,5,USA,White,-1.69163,-1.23177,-0.84732,-1.47955,-0.40581,Used in Last Month,1,4
131,1690,35-44,M,5,USA,White,1.02119,-1.50796,-0.84732,-1.47955,-0.00665,Used in Last Day,1,6
134,1860,18-24,M,5,USA,White,0.31287,-0.57545,-0.31776,-1.47955,-0.89891,Used in Last Year,1,3
135,63,25-34,M,7,UK,White,-0.58016,-1.37639,-1.82919,-1.34289,0.41594,Used in Last Week,1,5
136,103,45-54,M,4,UK,White,-0.58016,1.2861,1.43533,-1.34289,-0.00665,Used in Last Day,1,6
137,202,35-44,M,8,UK,Other,-0.14882,-0.94779,-0.58331,-1.34289,1.30612,Used in Last Week,1,5
141,377,65+,M,6,UK,White,0.13606,0.16767,0.29338,-1.34289,1.46191,Used in Last Day,1,6
142,389,25-34,M,7,UK,Black,-1.32828,0.32197,-0.58331,-1.34289,2.04506,Never Used,1,1
144,482,18-24,M,5,USA,White,1.13281,-0.80615,-0.17779,-1.34289,-0.65253,Used in Last Year,1,3
145,492,18-24,M,5,UK,White,-1.05308,1.11406,0.88309,-1.34289,-1.38502,Used in Last Week,1,5
146,509,25-34,M,7,UK,White,0.13606,-0.30033,-0.97631,-1.34289,-0.00665,Used in Last Year,1,3
147,524,18-24,M,5,USA,White,0.04257,0.32197,-0.01928,-1.34289,-0.14277,Used in Last Week,1,5
148,623,35-44,M,8,UK,White,-0.92104,0.63779,-0.17779,-1.34289,0.25953,Used in Last Week,1,5
150,782,35-44,M,6,USA,White,1.02119,-0.94779,-0.84732,-1.34289,-0.78155,Used in Last Day,1,6
151,814,18-24,M,5,USA,White,1.13281,-0.69509,-0.01928,-1.34289,-0.89891,Used in Last Month,1,4
152,909,35-44,M,7,Australia,White,-1.32828,0.32197,-0.71727,-1.34289,0.41594,Used in Last Month,1,4
153,911,18-24,M,7,USA,White,0.13606,0.63779,-0.01928,-1.34289,-0.00665,Used in Last Week,1,5
154,914,18-24,M,5,USA,White,0.73545,-1.37639,-0.71727,-1.34289,-0.78155,Used in Last Month,1,4
155,988,25-34,M,5,USA,White,1.72012,0.63779,0.44585,-1.34289,-2.18109,Used in Last Month,1,4
156,1043,35-44,M,7,UK,White,0.22393,-2.11437,-2.09015,-1.34289,-1.38502,Used in Last Day,1,6
157,1137,18-24,M,4,USA,White,1.37297,0.63779,-0.31776,-1.34289,-1.64101,Used in Last Year,1,3
158,1205,18-24,M,4,USA,Mixed-White/Asian,0.41667,0.47617,-0.31776,-1.34289,-0.27607,Used in Last Week,1,5
163,1429,18-24,M,5,USA,White,-0.92104,1.74091,0.58331,-1.34289,1.13407,Used in Last Month,1,4
164,1516,18-24,M,5,USA,White,1.02119,-0.43999,-0.01928,-1.34289,-1.13788,Used in Last Day,1,6
165,1520,18-24,M,5,USA,White,-0.24649,-0.80615,-1.27553,-1.34289,-1.92173,Never Used,1,1
166,1543,25-34,M,5,USA,White,0.82562,-3.00537,0.29338,-1.34289,-2.04506,Used in Last Day,1,6
169,1772,55-64,M,5,USA,White,-0.24649,-1.37639,-0.17779,-1.34289,0.93949,Used in Last Decade,1,2
171,1826,18-24,M,7,USA,White,0.04257,-1.09207,0.14143,-1.34289,-0.00665,Used in Last Week,1,5
172,51,35-44,M,8,UK,White,1.02119,-0.15487,-0.17779,-1.21213,-0.00665,Used in Last Day,1,6
173,78,35-44,M,7,UK,White,0.13606,-1.6334,-0.58331,-1.21213,-0.40581,Used in Last Year,1,3
175,145,45-54,M,6,Canada,White,0.13606,-1.09207,-0.45174,-1.21213,-0.00665,Used in Last Day,1,6
178,496,18-24,M,5,UK,White,0.73545,-1.6334,0.88309,-1.21213,-1.64101,Used in Last Day,1,6
179,544,35-44,M,3,UK,White,0.73545,0.80523,0.88309,-1.21213,-1.0145,Used in Last Day,1,6
180,586,25-34,M,7,UK,White,-0.24649,0.16767,-0.31776,-1.21213,0.7583,Used in Last Decade,1,2
181,595,35-44,M,2,UK,White,-0.34799,-0.57545,-0.58331,-1.21213,-0.65253,Used in Last Week,1,5
182,657,45-54,M,5,Canada,White,1.23461,-0.57545,0.29338,-1.21213,-1.13788,Used in Last Month,1,4
185,689,35-44,M,5,USA,White,1.02119,1.11406,-0.31776,-1.21213,0.58489,Used in Last Decade,1,2
186,727,18-24,M,6,UK,White,2.28554,-0.94779,0.7233,-1.21213,-0.52745,Used in Last Day,1,6
187,828,18-24,M,5,USA,White,0.13606,1.45421,1.24033,-1.21213,-0.78155,Used in Last Year,1,3
188,839,45-54,M,8,USA,White,-0.34799,0.32197,0.14143,-1.21213,0.25953,Used in Last Year,1,3
189,854,25-34,M,7,USA,White,0.73545,0.16767,-1.42424,-1.21213,-1.25773,Used in Last Decade,1,2
190,925,18-24,M,5,USA,White,-1.1943,-1.37639,-0.71727,-1.21213,-1.13788,Used in Last Year,1,3
191,976,18-24,M,5,USA,White,1.23461,0.00332,1.06238,-1.21213,-0.78155,Used in Last Week,1,5
192,1095,18-24,M,7,Australia,White,-1.69163,-0.80615,-0.58331,-1.21213,-1.25773,Used in Last Year,1,3
193,1134,25-34,M,8,New Zealand,White,0.62967,-0.69509,0.14143,-1.21213,-0.27607,Used in Last Day,1,6
194,1146,18-24,M,5,Republic of Ireland,White,1.60383,-0.80615,-0.71727,-1.21213,-2.18109,Used in Last Week,1,5
196,1160,45-54,M,6,Republic of Ireland,White,-0.46725,0.00332,-0.31776,-1.21213,0.93949,Used in Last Year,1,3
199,1285,18-24,M,5,USA,White,1.98437,-0.94779,-0.01928,-1.21213,-1.25773,Used in Last Day,1,6
201,1353,55-64,M,7,USA,White,1.72012,-2.11437,-1.11902,-1.21213,-0.27607,Used in Last Decade,1,2
203,1475,45-54,M,5,Canada,Other,1.02119,-0.69509,-0.84732,-1.21213,0.7583,Used in Last Month,1,4
204,1526,18-24,M,2,Australia,White,0.82562,1.2861,0.29338,-1.21213,-0.89891,Used in Last Day,1,6
205,1528,18-24,M,5,USA,White,0.91093,0.00332,1.06238,-1.21213,-1.5184,Used in Last Day,1,6
206,1698,55-64,M,9,UK,White,-1.1943,0.00332,0.7233,-1.21213,1.13407,Used in Last Day,1,6
207,1733,25-34,M,6,UK,White,0.41667,-0.80615,-0.84732,-1.21213,1.30612,Used in Last Month,1,4
209,1791,18-24,M,3,USA,White,0.13606,0.32197,0.44585,-1.21213,-0.40581,Used in Last Year,1,3
210,1811,18-24,M,7,USA,White,-0.58016,-1.23177,1.06238,-1.21213,0.93949,Used in Last Day,1,6
211,16,55-64,M,7,UK,White,-2.05048,-1.50796,-1.55521,-1.07533,1.13407,Used in Last Week,1,5
212,55,55-64,M,2,UK,White,0.04257,1.11406,-0.58331,-1.07533,-1.13788,Used in Last Day,1,6
214,307,35-44,M,8,UK,White,0.22393,-1.23177,-0.84732,-1.07533,0.7583,Used in Last Week,1,5
216,419,25-34,M,5,UK,White,-0.79151,0.96248,0.14143,-1.07533,-0.65253,Used in Last Week,1,5
220,574,35-44,M,6,UK,White,1.23461,-1.23177,-1.68062,-1.07533,-0.65253,Used in Last Day,1,6
221,587,18-24,M,6,UK,White,0.73545,-0.57545,1.24033,-1.07533,-0.27607,Used in Last Decade,1,2
223,715,18-24,M,6,UK,White,0.73545,1.11406,0.44585,-1.07533,-0.27607,Used in Last Week,1,5
225,827,18-24,M,7,USA,White,0.52135,0.63779,0.14143,-1.07533,1.30612,Used in Last Day,1,6
227,850,18-24,M,4,USA,White,0.52135,0.63779,1.06238,-1.07533,-0.40581,Used in Last Day,1,6
228,857,18-24,M,2,Canada,Mixed-White/Black,0.52135,0.80523,0.58331,-1.07533,-1.13788,Used in Last Week,1,5
231,926,25-34,M,4,USA,White,1.23461,-1.23177,-2.39883,-1.07533,-0.78155,Used in Last Year,1,3
232,973,25-34,M,5,Canada,White,0.41667,-1.6334,0.58331,-1.07533,0.93949,Used in Last Day,1,6
233,990,25-34,M,7,USA,White,-0.79151,0.00332,0.14143,-1.07533,-0.27607,Used in Last Week,1,5
234,1025,18-24,M,5,USA,White,-0.67825,-0.30033,1.06238,-1.07533,-2.42317,Used in Last Day,1,6
236,1033,25-34,M,5,UK,White,0.22393,-1.37639,-0.17779,-1.07533,-1.38502,Used in Last Year,1,3
237,1115,18-24,M,4,USA,White,-0.92104,-1.23177,-0.71727,-1.07533,0.58489,Used in Last Week,1,5
239,1196,35-44,M,7,USA,White,0.31287,0.16767,0.7233,-1.07533,0.41594,Used in Last Week,1,5
240,1204,18-24,M,5,USA,White,-0.67825,0.80523,0.29338,-1.07533,-0.78155,Used in Last Day,1,6
241,1206,25-34,M,5,USA,White,0.82562,-1.37639,0.44585,-1.07533,-1.13788,Used in Last Year,1,3
242,1210,18-24,M,5,Canada,Mixed-White/Black,-1.55078,-0.94779,0.58331,-1.07533,-0.40581,Used in Last Year,1,3
243,1211,45-54,M,7,Australia,White,-1.05308,0.63779,-0.45174,-1.07533,0.7583,Used in Last Week,1,5
247,1344,18-24,M,6,UK,White,0.22393,0.63779,-1.82919,-1.07533,-0.89891,Used in Last Week,1,5
248,1360,18-24,M,5,USA,White,-0.46725,-1.6334,0.44585,-1.07533,0.12331,Used in Last Month,1,4
249,1365,18-24,M,5,UK,White,0.82562,0.63779,-0.84732,-1.07533,-1.38502,Used in Last Week,1,5
251,1473,18-24,M,5,USA,White,-0.14882,0.47617,-0.17779,-1.07533,0.12331,Used in Last Day,1,6
252,1489,18-24,M,7,Australia,White,0.73545,0.00332,-0.17779,-1.07533,0.58489,Used in Last Day,1,6
253,1517,18-24,M,4,USA,White,-0.79151,1.93886,1.65653,-1.07533,-0.40581,Used in Last Week,1,5
256,1671,45-54,M,7,UK,White,0.62967,-0.80615,-1.82919,-1.07533,0.12331,Used in Last Day,1,6
260,1790,18-24,M,5,USA,White,0.04257,-0.15487,2.44904,-1.07533,-1.5184,Used in Last Week,1,5
261,1800,55-64,M,8,UK,White,-0.58016,1.74091,-1.97495,-1.07533,1.63088,Used in Last Week,1,5
262,1823,18-24,M,5,USA,White,-0.79151,0.32197,1.88511,-1.07533,-0.78155,Used in Last Year,1,3
264,1866,45-54,M,1,USA,White,0.73545,-0.43999,0.44585,-1.07533,0.25953,Used in Last Day,1,6
266,1875,18-24,M,4,USA,White,1.02119,-0.43999,1.43533,-1.07533,0.12331,Used in Last Day,1,6
268,52,45-54,M,6,Canada,White,1.13281,0.96248,-0.58331,-0.91699,-1.92173,Used in Last Decade,1,2
269,68,25-34,M,8,UK,White,-0.34799,-0.30033,1.06238,-0.91699,-0.14277,Used in Last Week,1,5
275,204,65+,M,1,UK,White,-1.55078,-1.09207,-2.39883,-0.91699,-0.65253,Used in Last Week,1,5
278,255,25-34,M,6,UK,White,1.37297,-0.69509,-0.71727,-0.91699,-0.27607,Used in Last Month,1,4
280,275,35-44,M,8,UK,White,0.22393,0.96248,0.14143,-0.91699,0.58489,Used in Last Day,1,6
282,372,18-24,M,4,Canada,White,0.22393,0.32197,0.14143,-0.91699,-0.27607,Used in Last Week,1,5
283,375,45-54,M,7,UK,White,-0.34799,-1.7625,0.7233,-0.91699,0.12331,Used in Last Day,1,6
284,422,18-24,M,4,UK,White,0.31287,0.80523,-0.01928,-0.91699,1.13407,Used in Last Month,1,4
285,438,45-54,M,2,UK,White,-1.43907,0.47617,0.29338,-0.91699,0.41594,Used in Last Day,1,6
288,569,18-24,M,7,UK,White,1.8399,0.63779,1.24033,-0.91699,-0.52745,Used in Last Day,1,6
292,621,55-64,M,8,UK,White,-0.67825,-0.94779,0.7233,-0.91699,0.58489,Used in Last Week,1,5
295,660,25-34,M,9,Republic of Ireland,White,-0.79151,1.45421,1.88511,-0.91699,-0.40581,Used in Last Week,1,5
296,704,55-64,M,7,UK,White,-1.43907,0.80523,-0.17779,-0.91699,-0.14277,Used in Last Day,1,6
298,745,25-34,M,2,UK,White,-0.34799,0.00332,-0.58331,-0.91699,0.7583,Used over a Decade Ago,1,Used over a Decade Ago
299,812,18-24,M,4,USA,White,-1.69163,0.80523,1.06238,-0.91699,-0.40581,Used in Last Year,1,3
300,816,18-24,M,5,UK,White,-0.67825,0.00332,-0.45174,-0.91699,0.25953,Used in Last Week,1,5
301,817,18-24,M,5,Canada,White,2.46262,0.32197,0.29338,-0.91699,-1.0145,Used in Last Week,1,5
305,983,18-24,M,5,UK,White,1.02119,1.11406,-1.11902,-0.91699,-1.0145,Used in Last Day,1,6
306,1024,18-24,M,4,Australia,White,1.37297,-0.15487,1.65653,-0.91699,-0.40581,Used in Last Week,1,5
307,1028,45-54,M,9,USA,White,0.13606,0.32197,0.44585,-0.91699,-0.00665,Used in Last Decade,1,2
311,1119,18-24,M,5,USA,White,1.60383,-1.23177,-0.17779,-0.91699,-0.65253,Used in Last Day,1,6
312,1136,18-24,M,8,USA,White,0.41667,1.2861,-1.11902,-0.91699,-0.52745,Used in Last Week,1,5
313,1162,18-24,M,3,USA,Other,0.82562,-1.09207,-1.42424,-0.91699,0.12331,Used in Last Week,1,5
314,1176,25-34,M,8,USA,White,0.31287,-0.80615,-0.01928,-0.91699,1.13407,Used in Last Day,1,6
315,1187,18-24,M,5,USA,White,0.82562,-0.30033,0.58331,-0.91699,-0.89891,Used in Last Week,1,5
317,1219,18-24,M,5,USA,White,0.41667,0.63779,-0.31776,-0.91699,-0.00665,Used in Last Week,1,5
322,1334,18-24,M,7,USA,White,0.41667,-0.30033,0.44585,-0.91699,0.25953,Used in Last Week,1,5
323,1336,45-54,M,7,USA,White,1.23461,-1.23177,0.44585,-0.91699,-0.00665,Used in Last Month,1,4
324,1358,18-24,M,6,Canada,White,0.41667,0.16767,-0.31776,-0.91699,0.41594,Used in Last Month,1,4
325,1439,18-24,M,5,USA,White,-1.86962,1.11406,0.7233,-0.91699,1.13407,Used in Last Week,1,5
327,1518,45-54,M,9,USA,White,0.62967,-1.37639,1.43533,-0.91699,-0.52745,Used in Last Week,1,5
328,1519,18-24,M,6,USA,White,0.04257,-1.6334,1.88511,-0.91699,0.12331,Used in Last Day,1,6
329,1522,18-24,M,6,USA,White,1.37297,-1.6334,1.06238,-0.91699,-1.38502,Used in Last Week,1,5
334,1602,25-34,M,8,UK,White,0.13606,0.63779,0.14143,-0.91699,1.63088,Used in Last Month,1,4
336,1609,25-34,M,5,USA,White,-0.24649,-1.09207,2.44904,-0.91699,-0.65253,Used in Last Year,1,3
337,1669,35-44,M,6,UK,White,0.62967,-1.09207,-0.84732,-0.91699,0.41594,Used in Last Year,1,3
338,1705,18-24,M,4,Canada,White,0.41667,0.16767,-0.01928,-0.91699,-0.89891,Used in Last Week,1,5
340,1719,45-54,M,6,UK,White,-1.1943,0.32197,-0.45174,-0.91699,0.12331,Used in Last Week,1,5
342,1868,25-34,M,5,USA,White,-2.05048,0.00332,2.15324,-0.91699,0.41594,Used in Last Week,1,5
343,1880,25-34,M,5,Canada,Other,-0.14882,-0.57545,1.43533,-0.91699,-0.78155,Used in Last Day,1,6
347,76,25-34,M,7,UK,White,-0.14882,0.16767,-1.55521,-0.76096,-0.40581,Used in Last Week,1,5
349,106,35-44,M,6,UK,White,-2.21844,0.47617,-1.82919,-0.76096,2.04506,Used in Last Year,1,3
351,115,35-44,M,5,UK,White,-2.3436,1.93886,1.43533,-0.76096,-1.38502,Used in Last Month,1,4
354,229,45-54,M,8,UK,White,-0.67825,0.32197,-0.01928,-0.76096,-0.14277,Used in Last Day,1,6
359,396,25-34,M,6,UK,White,-1.43907,0.63779,-0.17779,-0.76096,1.81175,Used in Last Day,1,6
360,405,18-24,M,7,UK,White,-1.43907,0.63779,-0.31776,-0.76096,-0.40581,Used in Last Week,1,5
361,431,25-34,M,1,UK,White,0.22393,-0.94779,-1.42424,-0.76096,-0.27607,Used in Last Week,1,5
362,444,35-44,M,2,UK,White,0.41667,0.63779,-0.71727,-0.76096,-0.27607,Used in Last Week,1,5
363,448,25-34,M,8,UK,White,0.04257,-0.15487,-0.84732,-0.76096,-1.13788,Used in Last Day,1,6
364,455,45-54,M,9,UK,White,-0.14882,-0.57545,0.88309,-0.76096,-0.27607,Used in Last Day,1,6
369,508,35-44,M,7,UK,White,-0.46725,0.63779,0.88309,-0.76096,0.58489,Used in Last Month,1,4
371,525,18-24,M,5,UK,White,-0.24649,0.47617,-0.17779,-0.76096,-1.25773,Used in Last Week,1,5
375,646,45-54,M,7,UK,White,0.04257,-0.30033,-0.31776,-0.76096,-0.40581,Used in Last Week,1,5
376,671,18-24,M,6,UK,White,-0.34799,0.16767,-0.45174,-0.76096,-0.40581,Used in Last Week,1,5
377,676,35-44,M,6,UK,White,-0.05188,-0.30033,-0.71727,-0.76096,-0.78155,Used in Last Year,1,3
378,768,25-34,M,8,New Zealand,White,0.82562,-0.69509,0.14143,-0.76096,-0.27607,Used in Last Day,1,6
379,803,18-24,M,4,Republic of Ireland,White,-0.46725,0.32197,0.14143,-0.76096,-0.65253,Used in Last Week,1,5
382,922,35-44,M,8,UK,White,-0.24649,-0.30033,-0.71727,-0.76096,0.12331,Used in Last Week,1,5
383,929,25-34,M,5,USA,White,0.22393,-1.23177,0.88309,-0.76096,-0.27607,Used in Last Week,1,5
384,947,18-24,M,4,USA,White,-0.67825,-0.30033,-1.11902,-0.76096,-1.5184,Used in Last Month,1,4
385,992,18-24,M,5,Australia,White,0.31287,1.74091,0.29338,-0.76096,-1.78169,Used in Last Week,1,5
386,1013,25-34,M,5,USA,White,1.8399,-1.23177,0.44585,-0.76096,-1.38502,Used in Last Day,1,6
387,1041,18-24,M,5,USA,White,0.73545,-0.15487,0.58331,-0.76096,0.41594,Used in Last Day,1,6
388,1049,18-24,M,8,UK,White,-1.43907,2.57309,0.44585,-0.76096,0.58489,Used in Last Day,1,6
389,1123,25-34,M,5,USA,White,-0.34799,-2.44904,-1.27553,-0.76096,-0.27607,Used in Last Decade,1,2
