no,age,gender,education,country,ethnicity,Nscore,Escore,Oscore,AScore,Cscore,Alcohol
25,55-64,M,7,UK,White,-0.14882,0.63779,1.24033,0.76096,1.46191,Used in Last Week
26,45-54,M,5,UK,White,-0.79151,-0.43999,-1.27553,0.94156,-0.00665,Used in Last Week
27,55-64,F,4,Canada,White,-0.05188,-1.6334,-3.27393,-0.76096,0.58489,Used in Last Day
28,35-44,M,7,UK,White,0.52135,-1.23177,-0.01928,-0.01729,-2.18109,Used in Last Day
29,35-44,F,8,UK,White,0.04257,-1.50796,-0.71727,0.28783,1.30612,Used in Last Day
30,45-54,M,9,UK,White,-1.32828,1.74091,0.88309,0.94156,1.81175,Never Used
31,45-54,M,2,UK,White,0.31287,-0.80615,-1.27553,-1.47955,-0.65253,Used in Last Day
33,35-44,M,7,UK,White,-0.79151,-1.23177,-0.01928,0.43852,-0.00665,Used in Last Day
34,18-24,M,7,UK,White,0.41667,-0.30033,0.29338,1.2861,-0.14277,Used in Last Day
35,35-44,M,7,USA,Other,1.02119,0.63779,0.88309,-2.90161,-0.78155,Used in Last Month
36,65+,M,1,UK,White,-0.24649,-0.80615,-2.63199,-0.30172,-0.78155,Used in Last Year
37,35-44,M,7,UK,White,-0.24649,-0.57545,-0.17779,-0.01729,-1.5184,Used in Last Day
38,55-64,M,1,USA,White,0.31287,0.32197,1.06238,0.13136,-0.65253,Used in Last Day
39,45-54,M,7,UK,White,-1.55078,1.2861,0.29338,-0.01729,0.7583,Used in Last Day
40,65+,F,6,UK,White,-0.24649,-0.94779,-1.11902,-0.76096,0.41594,Used in Last Day
41,35-44,M,8,UK,White,0.04257,-0.43999,-0.01928,-2.07848,0.7583,Used in Last Week
42,35-44,F,7,UK,White,0.82562,0.00332,1.06238,1.81866,-0.40581,Used in Last Month
43,35-44,M,8,UK,White,-0.14882,-0.94779,-1.27553,-0.01729,-0.65253,Used in Last Day
44,35-44,M,6,UK,White,-0.92104,-0.57545,-0.31776,-0.15487,-1.0145,Used in Last Day
45,25-34,M,7,UK,Other,-1.05308,1.45421,0.44585,1.2861,0.93949,Used in Last Week
46,25-34,F,7,UK,White,-0.46725,0.47617,1.24033,0.94156,1.63088,Used in Last Week
47,45-54,F,5,Canada,White,0.31287,0.63779,-1.11902,0.28783,1.46191,Used in Last Year
48,45-54,M,8,UK,White,-2.05048,0.80523,0.29338,0.94156,1.13407,Used in Last Week
49,45-54,M,2,UK,White,0.13606,-0.80615,-0.31776,-0.15487,-0.65253,Used in Last Day
50,25-34,F,8,UK,Mixed-White/Black,0.82562,-0.57545,-1.97495,-0.91699,0.25953,Used in Last Day
51,35-44,M,8,UK,White,1.02119,-0.15487,-0.17779,-1.21213,-0.00665,Used in Last Day
52,45-54,M,6,Canada,White,1.13281,0.96248,-0.58331,-0.91699,-1.92173,Used in Last Decade
53,55-64,F,7,UK,White,-0.14882,0.00332,-1.42424,0.28783,-0.78155,Used in Last Week
54,45-54,M,8,UK,White,-1.43907,-0.15487,1.06238,0.28783,0.25953,Used in Last Week
55,55-64,M,2,UK,White,0.04257,1.11406,-0.58331,-1.07533,-1.13788,Used in Last Day
56,55-64,F,6,UK,White,0.04257,-0.69509,-1.11902,-0.45321,-0.40581,Used in Last Year
57,35-44,F,5,UK,White,0.04257,0.00332,-1.68062,-0.01729,0.25953,Used in Last Week
58,25-34,F,7,UK,White,-0.58016,0.63779,-1.97495,0.28783,0.7583,Used over a Decade Ago
59,45-54,M,4,UK,White,0.22393,0.63779,-0.01928,-0.45321,-0.40581,Used in Last Week
60,45-54,M,7,UK,White,-0.46725,-1.23177,-1.27553,-1.6209,-0.14277,Used in Last Week
61,25-34,F,9,UK,White,1.37297,0.32197,0.29338,-0.30172,-0.27607,Used in Last Week
62,45-54,M,8,UK,Asian,-2.21844,1.58487,1.24033,0.13136,1.30612,Used in Last Week
63,25-34,M,7,UK,White,-0.58016,-1.37639,-1.82919,-1.34289,0.41594,Used in Last Week
64,45-54,M,7,UK,White,1.02119,-0.30033,-0.71727,-0.60633,-0.00665,Used in Last Week
65,45-54,M,9,UK,White,-1.55078,0.47617,1.06238,-0.45321,0.93949,Used in Last Day
66,35-44,M,5,UK,White,0.73545,0.47617,-0.84732,1.11406,0.58489,Used in Last Week
67,45-54,M,2,UK,White,-1.05308,-0.69509,-1.11902,1.2861,0.41594,Used in Last Month
68,25-34,M,8,UK,White,-0.34799,-0.30033,1.06238,-0.91699,-0.14277,Used in Last Week
70,45-54,F,2,UK,White,-0.05188,-0.69509,-1.68062,0.28783,-0.00665,Used in Last Day
71,25-34,M,5,UK,White,-0.34799,-0.30033,0.14143,-1.92595,-0.27607,Used in Last Day
72,45-54,F,4,Canada,White,-0.46725,1.11406,-0.31776,1.11406,0.12331,Used in Last Week
73,45-54,M,4,UK,White,-1.55078,0.96248,-0.01928,0.43852,0.93949,Used in Last Day
74,45-54,M,6,UK,White,-0.67825,-0.57545,-0.31776,0.28783,1.13407,Used in Last Day
75,65+,F,2,UK,White,-1.1943,-1.7625,-2.8595,-1.47955,0.25953,Used in Last Year
76,25-34,M,7,UK,White,-0.14882,0.16767,-1.55521,-0.76096,-0.40581,Used in Last Week
77,45-54,F,3,Canada,White,-0.34799,-0.69509,-1.55521,0.43852,0.58489,Used in Last Month
78,35-44,M,7,UK,White,0.13606,-1.6334,-0.58331,-1.21213,-0.40581,Used in Last Year
79,35-44,M,5,UK,White,-0.79151,-0.80615,-2.09015,-1.6209,-2.18109,Used in Last Day
80,35-44,M,6,UK,White,-0.34799,-0.80615,-1.97495,1.11406,-0.65253,Used in Last Week
81,65+,F,9,Canada,White,0.04257,0.32197,0.44585,-0.15487,1.46191,Used in Last Day
82,55-64,F,7,UK,White,-0.79151,-1.23177,-0.01928,-0.91699,-0.14277,Used in Last Week
83,55-64,M,8,Canada,White,-2.05048,1.45421,-0.97631,0.59042,1.46191,Used in Last Week
84,55-64,F,3,UK,Mixed-White/Black,1.02119,-0.94779,-1.11902,1.45039,-1.64101,Used in Last Year
85,45-54,M,2,UK,White,-0.34799,0.16767,-0.31776,-0.30172,-0.14277,Used in Last Week
86,25-34,F,4,UK,White,-0.46725,0.00332,-1.55521,0.13136,0.41594,Used in Last Year
87,35-44,M,5,UK,White,0.73545,-0.15487,-1.11902,0.13136,-0.14277,Used in Last Week
88,55-64,M,2,UK,White,-0.92104,0.16767,-0.45174,-0.30172,0.25953,Used in Last Week
89,35-44,F,5,UK,White,0.31287,-1.92173,-1.42424,-0.76096,-0.52745,Used in Last Year
90,35-44,F,8,UK,White,0.91093,-0.57545,0.29338,-0.60633,-0.27607,Used in Last Week
91,35-44,F,8,UK,White,1.37297,0.32197,0.7233,0.28783,-0.78155,Used in Last Day
92,35-44,M,6,Canada,White,0.41667,-0.43999,0.7233,0.28783,0.7583,Used in Last Decade
93,25-34,M,4,UK,White,-1.55078,-0.30033,-0.45174,0.28783,-0.00665,Used in Last Month
94,65+,F,2,UK,White,-0.14882,-0.80615,-0.97631,0.76096,0.41594,Used in Last Year
95,45-54,M,8,UK,White,-0.67825,-0.57545,-0.97631,0.59042,-0.14277,Used in Last Week
96,45-54,M,8,UK,White,-0.46725,0.32197,1.06238,-1.6209,1.13407,Used in Last Day
97,35-44,F,7,Canada,White,0.13606,-1.09207,0.29338,-0.15487,0.7583,Used in Last Month
98,45-54,F,8,UK,White,-0.46725,0.63779,-0.31776,-0.60633,-1.13788,Used in Last Week
99,35-44,M,9,Canada,White,-1.1943,-0.43999,-0.01928,-0.60633,0.93949,Used in Last Month
100,25-34,F,7,UK,White,-0.67825,3.00537,0.7233,0.94156,1.63088,Used in Last Day
102,45-54,F,2,Australia,White,-0.58016,0.47617,-1.68062,-0.15487,0.93949,Used in Last Month
103,45-54,M,4,UK,White,-0.58016,1.2861,1.43533,-1.34289,-0.00665,Used in Last Day
104,45-54,F,6,Canada,White,0.04257,0.63779,-0.31776,-0.30172,0.12331,Used in Last Month
105,25-34,F,5,Canada,White,-0.92104,0.16767,-0.17779,1.11406,0.58489,Used in Last Week
106,35-44,M,6,UK,White,-2.21844,0.47617,-1.82919,-0.76096,2.04506,Used in Last Year
107,25-34,F,5,UK,White,1.02119,-0.30033,-1.82919,0.28783,-0.40581,Used in Last Month
108,35-44,F,2,UK,White,0.13606,0.00332,-1.27553,-0.76096,0.58489,Used in Last Week
109,25-34,F,7,UK,White,-0.46725,2.127,0.14143,0.13136,0.7583,Used in Last Week
110,45-54,F,5,UK,White,-0.79151,0.47617,-1.42424,-0.91699,-0.52745,Used in Last Week
111,45-54,M,8,UK,Asian,-0.14882,0.32197,0.14143,-0.30172,-0.14277,Used in Last Week
112,25-34,M,8,UK,White,0.31287,-1.09207,-0.84732,-0.60633,-0.65253,Used in Last Day
113,25-34,F,7,UK,White,-1.1943,0.32197,0.88309,-1.21213,-0.78155,Used in Last Year
114,45-54,F,6,UK,White,0.04257,0.63779,0.29338,0.13136,0.7583,Used in Last Month
115,35-44,M,5,UK,White,-2.3436,1.93886,1.43533,-0.76096,-1.38502,Used in Last Month
116,25-34,F,6,Canada,White,0.22393,-0.57545,-0.84732,0.28783,1.13407,Used in Last Week
117,35-44,M,6,Canada,White,0.62967,-0.57545,0.14143,-1.772,-0.40581,Used in Last Month
118,25-34,F,7,UK,White,1.60383,0.80523,1.43533,0.13136,-1.13788,Used in Last Week
119,35-44,F,5,USA,White,1.8399,-1.92173,-2.39883,1.11406,0.25953,Used in Last Week
120,35-44,F,7,UK,White,-0.34799,0.63779,-0.97631,0.28783,1.46191,Used in Last Week
121,25-34,F,8,UK,White,-1.05308,0.63779,-0.97631,-1.07533,0.7583,Used in Last Day
122,35-44,F,6,UK,White,1.49158,-1.23177,-1.55521,-2.07848,-0.78155,Used in Last Decade
123,55-64,M,8,UK,White,0.22393,0.16767,-0.17779,-0.30172,-0.89891,Used in Last Day
124,25-34,F,7,UK,White,0.22393,-0.69509,-0.45174,-0.01729,0.12331,Used in Last Week
125,45-54,M,2,UK,White,-0.34799,1.93886,0.29338,0.43852,0.58489,Used in Last Year
126,55-64,M,7,UK,White,-0.46725,1.2861,0.44585,0.13136,1.13407,Used in Last Day
127,45-54,M,7,UK,White,-1.1943,0.63779,-1.11902,-0.45321,-0.00665,Used in Last Week
128,45-54,F,3,UK,White,-0.34799,-0.80615,-0.84732,0.28783,0.93949,Used in Last Week
129,35-44,M,9,UK,Asian,0.04257,0.63779,0.14143,0.13136,0.25953,Never Used
130,45-54,F,8,UK,White,-0.79151,0.96248,-1.11902,0.94156,0.41594,Used in Last Day
131,45-54,F,2,UK,White,0.91093,0.32197,-1.42424,0.43852,2.33337,Used in Last Week
132,45-54,F,2,UK,Other,-1.55078,-0.15487,-1.27553,2.46262,0.58489,Used in Last Month
133,35-44,F,4,Republic of Ireland,White,-0.24649,-0.57545,-0.58331,-0.15487,0.25953,Used in Last Month
134,35-44,M,8,UK,White,-0.05188,0.16767,0.29338,-0.15487,0.12331,Used in Last Week
135,25-34,F,8,UK,Mixed-White/Asian,3.27393,-1.50796,-0.31776,0.59042,-0.65253,Used in Last Day
136,35-44,F,2,UK,White,-1.69163,1.58487,-0.58331,1.81866,1.63088,Used over a Decade Ago
137,45-54,F,7,UK,White,-0.14882,-0.30033,-1.68062,1.81866,1.63088,Used in Last Week
138,45-54,F,7,UK,White,-1.1943,1.58487,0.29338,0.76096,0.41594,Used in Last Month
139,55-64,M,7,UK,White,-0.46725,-0.80615,0.14143,0.28783,0.93949,Used in Last Day
140,45-54,M,2,UK,White,-0.05188,0.32197,-0.58331,0.94156,-0.27607,Used in Last Day
141,25-34,F,7,UK,Asian,1.98437,0.32197,1.43533,0.94156,-0.27607,Used in Last Week
142,35-44,F,2,UK,White,-0.79151,0.63779,-1.11902,1.2861,0.58489,Used in Last Week
143,35-44,M,3,UK,White,-0.46725,-0.30033,-1.27553,0.28783,-0.14277,Used in Last Day
144,35-44,M,6,UK,Black,-1.69163,1.2861,-0.58331,1.2861,2.04506,Used over a Decade Ago
145,45-54,M,6,Canada,White,0.13606,-1.09207,-0.45174,-1.21213,-0.00665,Used in Last Day
146,45-54,F,7,UK,White,-0.46725,0.16767,-1.11902,2.23427,0.7583,Used in Last Month
147,55-64,M,6,UK,White,0.22393,-1.23177,-0.17779,-0.45321,-0.27607,Used in Last Day
148,35-44,M,8,UK,Black,-0.58016,0.47617,-0.71727,0.13136,0.93949,Used in Last Month
149,35-44,F,6,UK,White,-0.05188,-1.09207,-2.63199,-0.91699,0.25953,Used in Last Month
150,45-54,F,7,UK,White,-0.79151,1.93886,-0.71727,2.03972,1.63088,Used in Last Month
151,35-44,F,5,UK,White,-0.24649,1.2861,0.14143,0.59042,1.13407,Used in Last Week
152,35-44,F,7,UK,White,0.52135,-1.6334,-1.82919,0.43852,-0.89891,Used in Last Week
153,25-34,F,7,UK,White,-0.46725,-1.50796,-0.71727,-0.60633,-0.65253,Used in Last Week
154,25-34,M,7,UK,White,-0.67825,0.96248,-1.68062,0.76096,0.7583,Used in Last Day
155,18-24,F,5,UK,White,2.82196,-1.37639,0.7233,-0.45321,0.58489,Used in Last Week
156,35-44,F,7,UK,Black,0.62967,-1.37639,-1.27553,0.28783,-0.27607,Used in Last Week
157,35-44,F,5,UK,White,1.23461,0.00332,-0.31776,1.11406,0.12331,Used in Last Week
158,25-34,M,2,UK,White,-1.05308,1.11406,-1.82919,-0.45321,0.7583,Used in Last Day
159,35-44,F,7,Australia,White,-0.24649,0.16767,-0.31776,-0.30172,0.41594,Used in Last Year
160,45-54,F,5,UK,Black,-0.46725,-0.57545,-0.58331,0.13136,0.25953,Used in Last Month
162,35-44,M,7,UK,Black,-0.67825,0.32197,-0.84732,1.81866,-0.40581,Used in Last Week
163,25-34,F,7,New Zealand,White,0.22393,0.00332,-0.17779,1.61108,0.93949,Used in Last Year
164,25-34,F,5,UK,White,1.8399,0.00332,-0.31776,0.94156,0.12331,Used in Last Month
165,25-34,F,9,UK,White,0.13606,0.32197,-1.55521,1.45039,1.13407,Used in Last Year
166,45-54,M,8,UK,White,-0.24649,-0.30033,-0.31776,-0.45321,1.63088,Used in Last Day
167,18-24,M,5,UK,White,1.49158,-1.23177,0.7233,-2.35413,-1.92173,Used in Last Week
168,25-34,F,6,UK,Black,0.04257,0.00332,-0.97631,-0.45321,0.93949,Used in Last Decade
169,25-34,F,7,UK,White,0.22393,1.2861,-1.27553,-0.30172,-1.13788,Used in Last Week
170,18-24,F,4,UK,White,-0.34799,0.00332,-1.42424,0.59042,-0.14277,Used in Last Week
171,45-54,M,2,UK,White,1.37297,-0.30033,-0.31776,0.13136,-0.14277,Used in Last Decade
172,35-44,M,8,UK,White,-0.34799,0.96248,2.15324,0.76096,-0.78155,Used in Last Day
173,45-54,F,6,UK,White,0.52135,-0.57545,-0.45174,-0.45321,0.7583,Used in Last Week
174,35-44,F,7,UK,White,1.02119,0.63779,1.24033,0.13136,0.25953,Used in Last Day
175,35-44,F,6,UK,White,1.02119,-0.57545,-2.21069,0.76096,-1.5184,Used in Last Day
176,55-64,F,7,UK,White,0.62967,0.00332,0.44585,1.2861,0.12331,Used in Last Week
177,35-44,F,7,UK,Other,-0.14882,-0.57545,-0.84732,-1.21213,-0.52745,Used in Last Year
178,35-44,F,7,UK,White,1.49158,0.00332,-1.27553,-0.91699,1.13407,Used in Last Week
179,45-54,F,7,UK,White,0.82562,-0.94779,-0.45174,0.76096,-0.14277,Used in Last Week
180,35-44,F,6,UK,White,0.41667,-0.15487,-0.97631,1.11406,-0.65253,Used in Last Week
181,45-54,F,6,UK,White,0.31287,0.63779,-1.55521,0.28783,0.93949,Used in Last Week
182,25-34,M,9,UK,White,-1.32828,-0.43999,-0.31776,0.59042,0.93949,Used in Last Week
183,35-44,F,5,UK,White,0.31287,0.80523,-0.31776,1.2861,0.7583,Used in Last Week
184,18-24,F,7,UK,White,1.98437,-0.43999,0.29338,-0.76096,0.93949,Used in Last Day
185,55-64,M,4,UK,White,0.04257,-0.80615,-0.97631,0.59042,0.25953,Used in Last Day
186,35-44,F,7,Canada,White,0.31287,0.63779,-0.01928,0.76096,-0.14277,Used in Last Week
187,35-44,F,8,UK,White,-0.67825,1.45421,0.14143,0.28783,1.81175,Used in Last Day
188,55-64,F,2,UK,White,-0.79151,-0.80615,-1.97495,1.11406,0.58489,Used in Last Month
189,45-54,F,2,UK,White,0.41667,-1.37639,-2.09015,0.59042,-0.27607,Used in Last Month
190,18-24,F,8,UK,White,-0.34799,0.00332,-0.45174,0.13136,0.7583,Used in Last Week
191,55-64,F,6,UK,White,-1.43907,0.00332,-0.84732,0.59042,-0.27607,Used in Last Week
192,18-24,M,7,UK,Mixed-White/Asian,-0.34799,1.2861,-1.11902,0.59042,-0.52745,Used in Last Week
193,25-34,F,6,Canada,White,-0.79151,-0.30033,-0.17779,0.28783,-0.52745,Used in Last Week
194,45-54,F,7,UK,White,0.31287,-1.09207,-0.45174,0.13136,0.12331,Used in Last Week
195,25-34,F,7,Canada,Mixed-White/Asian,-0.92104,1.2861,-0.01928,-0.01729,0.41594,Used in Last Year
196,55-64,F,7,UK,White,0.62967,0.32197,0.7233,-0.30172,0.93949,Used in Last Week
197,18-24,M,7,UK,Black,-0.58016,0.32197,-0.58331,1.2861,-0.89891,Used in Last Month
198,55-64,F,7,UK,White,-0.34799,0.47617,-0.71727,-0.91699,-0.52745,Used in Last Week
199,25-34,F,6,UK,White,-0.05188,0.47617,0.58331,0.76096,-0.00665,Used in Last Day
200,45-54,F,6,UK,White,-0.46725,2.32338,0.7233,1.81866,1.30612,Used in Last Month
201,18-24,F,7,UK,White,-0.58016,0.16767,-0.84732,1.11406,1.46191,Used in Last Day
202,35-44,M,8,UK,Other,-0.14882,-0.94779,-0.58331,-1.34289,1.30612,Used in Last Week
203,35-44,F,7,UK,White,-0.67825,1.2861,-0.45174,0.94156,1.13407,Used in Last Day
204,65+,M,1,UK,White,-1.55078,-1.09207,-2.39883,-0.91699,-0.65253,Used in Last Week
205,25-34,F,7,UK,White,-0.14882,0.96248,1.24033,-0.01729,0.25953,Used in Last Week
206,35-44,F,2,UK,White,-0.14882,1.11406,0.29338,-0.91699,-1.0145,Used in Last Week
207,18-24,F,7,UK,White,-0.05188,1.2861,0.58331,0.13136,0.41594,Used in Last Week
208,35-44,F,6,UK,White,-0.67825,0.47617,-0.58331,0.59042,-0.14277,Used in Last Week
209,35-44,F,7,UK,White,0.13606,0.00332,-0.17779,-0.30172,-0.00665,Used in Last Month
210,25-34,M,8,UK,Asian,-1.43907,0.47617,1.06238,-0.45321,1.13407,Never Used
211,25-34,F,5,UK,White,0.73545,0.16767,-1.42424,-0.01729,-1.25773,Used in Last Year
212,45-54,F,2,UK,White,-0.67825,-0.57545,-1.11902,1.11406,0.93949,Used in Last Week
213,25-34,F,6,UK,White,0.13606,0.63779,-0.84732,1.81866,0.58489,Used in Last Day
214,45-54,F,6,Republic of Ireland,White,0.52135,-0.15487,-1.27553,0.94156,0.12331,Used in Last Week
215,25-34,F,6,UK,White,-0.14882,1.11406,0.44585,1.2861,1.30612,Used in Last Week
216,25-34,F,7,Canada,White,1.60383,-0.30033,-0.71727,1.11406,-0.40581,Used in Last Week
217,25-34,F,6,UK,White,0.22393,1.11406,0.29338,1.45039,-0.00665,Used in Last Week
218,35-44,M,6,UK,White,1.23461,0.80523,0.44585,1.45039,-1.64101,Used in Last Decade
220,35-44,F,5,UK,White,-0.34799,-0.57545,0.14143,1.11406,0.25953,Used in Last Day
221,18-24,F,7,UK,White,0.82562,-0.30033,0.29338,-0.01729,0.12331,Used in Last Week
222,25-34,F,7,UK,White,-0.14882,0.47617,-0.45174,-0.76096,0.93949,Used in Last Year
223,35-44,F,7,UK,White,-0.24649,0.63779,0.7233,1.11406,0.25953,Used in Last Day
224,55-64,M,7,UK,White,-1.1943,1.11406,-0.31776,1.11406,0.93949,Used over a Decade Ago
225,45-54,F,7,UK,White,-0.46725,1.45421,0.29338,0.43852,0.7583,Used in Last Week
226,35-44,F,7,UK,White,-1.32828,0.63779,0.88309,-0.45321,0.25953,Used in Last Day
227,45-54,F,7,UK,White,-0.46725,0.47617,-0.71727,1.45039,1.46191,Used in Last Week
228,18-24,M,5,UK,White,0.22393,0.96248,-0.97631,-0.60633,0.58489,Used in Last Week
229,45-54,M,8,UK,White,-0.67825,0.32197,-0.01928,-0.76096,-0.14277,Used in Last Day
230,45-54,F,7,UK,White,-1.05308,1.45421,0.14143,0.94156,1.63088,Used in Last Day
231,35-44,F,6,UK,White,1.02119,-2.21069,-1.82919,0.59042,0.41594,Used in Last Week
232,65+,F,8,UK,White,0.13606,-1.09207,-0.45174,-0.45321,0.25953,Used in Last Day
233,25-34,F,7,UK,White,0.04257,1.2861,-0.01928,0.13136,0.7583,Used in Last Week
234,45-54,M,7,UK,White,-0.67825,0.80523,-1.42424,0.94156,0.25953,Used in Last Day
235,25-34,F,7,UK,White,0.41667,0.96248,-0.01928,-0.91699,1.63088,Used in Last Month
236,25-34,F,6,UK,White,0.04257,0.96248,-1.27553,2.23427,2.04506,Used in Last Week
237,25-34,F,8,UK,White,1.49158,0.32197,-0.17779,0.43852,0.41594,Used in Last Day
238,25-34,F,2,UK,White,0.91093,-0.15487,-2.21069,0.28783,1.30612,Used in Last Week
239,18-24,F,4,UK,White,0.52135,-0.15487,-0.71727,-0.60633,0.25953,Used in Last Month
240,45-54,F,6,UK,White,-1.86962,0.63779,0.7233,1.61108,0.25953,Used in Last Week
241,35-44,F,8,UK,White,0.62967,-1.23177,-0.01928,1.61108,2.63199,Used in Last Month
243,18-24,F,5,UK,White,1.49158,-1.50796,-3.27393,0.76096,-0.89891,Used in Last Week
244,25-34,F,7,UK,White,-0.58016,1.11406,0.7233,0.94156,0.93949,Used in Last Week
245,35-44,M,7,UK,White,1.98437,-1.50796,-0.17779,1.11406,-2.90161,Used in Last Week
246,25-34,F,5,UK,White,-0.24649,-0.94779,-1.68062,-1.47955,-1.38502,Used in Last Week
247,25-34,F,6,UK,White,1.37297,-0.69509,-1.27553,0.43852,-0.65253,Used in Last Week
248,45-54,M,8,UK,White,-0.92104,-0.30033,-1.11902,0.59042,1.63088,Used in Last Day
249,45-54,F,9,UK,White,-2.42317,0.16767,-0.31776,2.03972,1.81175,Used in Last Week
250,45-54,F,6,UK,White,1.13281,0.32197,-0.17779,0.94156,1.13407,Used in Last Week
251,45-54,M,7,UK,White,-0.46725,0.16767,-0.31776,-0.45321,1.46191,Used in Last Week
252,35-44,F,7,UK,White,0.62967,-0.94779,-0.71727,-0.15487,0.7583,Used in Last Month
253,18-24,F,8,UK,White,-1.43907,0.96248,-0.58331,2.23427,2.04506,Used in Last Week
254,45-54,F,9,UK,White,-0.79151,0.16767,0.29338,-0.01729,0.93949,Used in Last Day
255,25-34,M,6,UK,White,1.37297,-0.69509,-0.71727,-0.91699,-0.27607,Used in Last Month
256,35-44,F,8,UK,White,-1.1943,1.74091,1.06238,1.2861,0.7583,Used in Last Week
257,18-24,F,5,UK,White,-0.46725,0.63779,-0.31776,0.76096,0.93949,Used in Last Month
258,35-44,M,9,UK,White,0.04257,0.00332,0.88309,-2.70172,-0.27607,Used in Last Month
259,65+,M,9,UK,White,0.52135,-0.15487,-0.45174,-1.47955,1.81175,Used in Last Week
260,65+,M,6,UK,White,-1.05308,-0.30033,0.29338,0.43852,0.7583,Used in Last Day
261,45-54,F,6,UK,White,-0.46725,0.96248,2.15324,-0.91699,-0.00665,Used in Last Week
262,55-64,M,7,UK,White,-0.67825,-0.43999,0.7233,-0.01729,-0.14277,Used in Last Decade
263,45-54,M,8,UK,Asian,-0.92104,0.80523,-0.31776,0.94156,0.25953,Used in Last Year
264,55-64,F,1,UK,White,-1.05308,0.00332,-0.01928,1.61108,1.13407,Used in Last Week
265,18-24,F,7,UK,White,-0.46725,0.16767,-0.01928,0.59042,0.58489,Used in Last Week
266,35-44,F,7,UK,Black,-0.24649,0.00332,-0.45174,-0.01729,-0.00665,Used in Last Decade
267,55-64,M,7,UK,White,-1.1943,-0.15487,-0.17779,0.28783,0.7583,Used in Last Day
268,35-44,M,6,UK,Black,-0.92104,1.45421,-1.27553,-0.45321,-0.00665,Used in Last Day
269,45-54,F,8,UK,White,-1.05308,1.74091,0.58331,0.43852,2.04506,Used in Last Day
270,35-44,F,8,UK,Black,-0.92104,0.16767,-0.84732,-0.76096,0.12331,Used in Last Month
271,45-54,F,8,UK,White,-2.3436,2.127,1.65653,0.76096,0.7583,Used in Last Day
272,45-54,F,8,UK,White,0.73545,-0.69509,0.44585,0.28783,-1.38502,Used in Last Day
273,55-64,M,9,UK,White,-1.05308,0.00332,-0.01928,0.28783,-0.00665,Used in Last Day
274,25-34,F,7,UK,White,0.22393,0.16767,-1.11902,0.28783,0.25953,Used in Last Day
275,35-44,M,8,UK,White,0.22393,0.96248,0.14143,-0.91699,0.58489,Used in Last Day
276,35-44,F,8,UK,White,0.41667,-0.43999,0.14143,0.43852,1.63088,Used in Last Month
277,55-64,M,9,UK,White,-0.92104,0.47617,-0.58331,-0.30172,-0.52745,Used in Last Day
278,25-34,M,5,UK,White,-1.05308,1.45421,1.06238,0.76096,-0.14277,Used in Last Week
279,45-54,F,7,UK,White,-0.24649,-0.43999,-0.31776,0.76096,-0.00665,Used in Last Week
280,45-54,M,8,UK,White,-1.32828,0.80523,0.29338,0.43852,0.41594,Used in Last Week
