,Unnamed: 0,no,age,gender,education,country,ethnicity,Nscore,Escore,Oscore,AScore,Cscore,Alcohol,value,freq
453,453,730,25-34,F,2,Australia,White,-0.58016,0.32197,0.14143,-0.60633,0.12331,Used in Last Day,1,6
454,454,773,45-54,M,7,UK,White,1.23461,-1.37639,-0.45174,-0.60633,-1.78169,Used in Last Day,1,6
455,455,778,18-24,M,5,USA,Mixed-White/Asian,0.52135,0.63779,0.7233,-0.60633,-0.52745,Used in Last Day,1,6
460,460,864,18-24,M,7,UK,White,0.04257,-0.15487,-0.17779,-0.60633,-0.40581,Used in Last Day,1,6
464,464,904,25-34,F,8,USA,White,0.22393,-0.69509,0.29338,-0.60633,-1.13788,Used in Last Day,1,6
468,468,998,25-34,M,8,UK,White,1.13281,-0.30033,0.88309,-0.60633,0.93949,Used in Last Day,1,6
469,469,1034,18-24,M,5,USA,White,0.22393,-0.69509,0.14143,-0.60633,-0.27607,Used in Last Day,1,6
470,470,1035,18-24,F,5,UK,White,1.23461,-0.57545,0.44585,-0.60633,-1.0145,Used in Last Day,1,6
471,471,1056,25-34,M,2,UK,White,-0.79151,1.2861,1.65653,-0.60633,0.58489,Used in Last Day,1,6
473,473,1096,25-34,F,7,Australia,White,-1.43907,1.74091,-0.84732,-0.60633,0.58489,Used in Last Day,1,6
484,484,1339,35-44,M,6,Canada,White,0.13606,0.47617,0.29338,-0.60633,0.7583,Used in Last Day,1,6
487,487,1387,45-54,F,5,UK,White,-0.05188,-0.94779,1.06238,-0.60633,-0.27607,Used in Last Day,1,6
492,492,1422,25-34,M,5,USA,White,-0.14882,0.47617,0.7233,-0.60633,0.25953,Used in Last Day,1,6
493,493,1431,18-24,M,5,USA,White,-0.24649,1.45421,1.43533,-0.60633,-0.14277,Used in Last Day,1,6
497,497,1513,18-24,M,1,USA,White,2.28554,-0.69509,0.29338,-0.60633,-0.14277,Used in Last Day,1,6
502,502,1553,45-54,F,5,UK,White,-0.14882,-0.94779,-1.27553,-0.60633,0.41594,Used in Last Day,1,6
505,505,1589,35-44,M,2,UK,White,-1.32828,2.127,-0.58331,-0.60633,0.12331,Used in Last Day,1,6
512,512,1793,18-24,M,7,USA,White,0.62967,-1.50796,1.88511,-0.60633,3.00537,Used in Last Day,1,6
518,518,18,45-54,M,2,UK,White,0.52135,-1.23177,-0.31776,-0.45321,-1.38502,Used in Last Day,1,6
521,521,65,45-54,M,9,UK,White,-1.55078,0.47617,1.06238,-0.45321,0.93949,Used in Last Day,1,6
523,523,147,55-64,M,6,UK,White,0.22393,-1.23177,-0.17779,-0.45321,-0.27607,Used in Last Day,1,6
525,525,158,25-34,M,2,UK,White,-1.05308,1.11406,-1.82919,-0.45321,0.7583,Used in Last Day,1,6
526,526,166,45-54,M,8,UK,White,-0.24649,-0.30033,-0.31776,-0.45321,1.63088,Used in Last Day,1,6
530,530,226,35-44,F,7,UK,White,-1.32828,0.63779,0.88309,-0.45321,0.25953,Used in Last Day,1,6
531,531,232,65+,F,8,UK,White,0.13606,-1.09207,-0.45174,-0.45321,0.25953,Used in Last Day,1,6
533,533,268,35-44,M,6,UK,Black,-0.92104,1.45421,-1.27553,-0.45321,-0.00665,Used in Last Day,1,6
535,535,332,35-44,M,1,UK,White,-0.24649,-0.43999,-0.97631,-0.45321,0.58489,Used in Last Day,1,6
538,538,420,25-34,F,9,UK,White,0.31287,0.00332,1.06238,-0.45321,0.41594,Used in Last Day,1,6
540,540,516,35-44,M,2,UK,White,0.91093,-0.30033,-1.55521,-0.45321,-0.27607,Used in Last Day,1,6
545,545,628,35-44,M,7,UK,White,-0.05188,-0.43999,-0.84732,-0.45321,0.41594,Used in Last Day,1,6
547,547,686,25-34,M,7,Australia,White,-0.34799,0.16767,0.7233,-0.45321,-0.78155,Used in Last Day,1,6
550,550,761,25-34,M,7,Canada,White,0.04257,-0.94779,-0.84732,-0.45321,-0.65253,Used in Last Day,1,6
551,551,762,18-24,M,5,USA,White,1.72012,0.32197,-1.11902,-0.45321,-2.42317,Used in Last Day,1,6
554,554,823,18-24,M,5,UK,White,-0.05188,1.11406,0.7233,-0.45321,0.41594,Used in Last Day,1,6
556,556,872,25-34,M,7,USA,White,0.91093,-0.80615,1.06238,-0.45321,1.13407,Used in Last Day,1,6
558,558,900,25-34,M,7,USA,White,1.8399,-0.30033,-0.45174,-0.45321,-1.0145,Used in Last Day,1,6
559,559,918,18-24,M,4,USA,Mixed-White/Black,0.22393,0.00332,-0.01928,-0.45321,0.93949,Used in Last Day,1,6
560,560,951,18-24,F,7,USA,White,0.62967,0.00332,0.44585,-0.45321,-0.65253,Used in Last Day,1,6
566,566,1076,35-44,M,4,UK,White,0.31287,-0.69509,-0.45174,-0.45321,-0.14277,Used in Last Day,1,6
568,568,1085,18-24,F,8,UK,White,0.62967,1.11406,-0.84732,-0.45321,-1.25773,Used in Last Day,1,6
569,569,1190,55-64,F,9,USA,White,-0.34799,0.47617,0.44585,-0.45321,-0.00665,Used in Last Day,1,6
573,573,1231,18-24,F,4,USA,White,0.13606,0.16767,1.06238,-0.45321,-0.14277,Used in Last Day,1,6
575,575,1248,55-64,M,7,UK,White,0.13606,-0.57545,-0.84732,-0.45321,-1.25773,Used in Last Day,1,6
576,576,1251,35-44,F,8,UK,White,-0.92104,-0.15487,0.44585,-0.45321,1.13407,Used in Last Day,1,6
577,577,1252,45-54,F,9,UK,Mixed-White/Asian,0.73545,-0.15487,1.24033,-0.45321,0.7583,Used in Last Day,1,6
579,579,1288,35-44,F,7,USA,White,-0.58016,0.47617,2.15324,-0.45321,-0.14277,Used in Last Day,1,6
580,580,1313,35-44,F,8,USA,White,-1.05308,1.93886,0.88309,-0.45321,1.81175,Used in Last Day,1,6
588,588,1433,45-54,F,9,UK,White,-1.05308,-1.23177,-0.71727,-0.45321,0.58489,Used in Last Day,1,6
591,591,1493,18-24,M,5,USA,White,1.49158,-0.57545,-0.71727,-0.45321,-1.5184,Used in Last Day,1,6
600,600,1729,45-54,M,8,UK,White,-0.79151,-0.94779,-0.45174,-0.45321,-0.40581,Used in Last Day,1,6
603,603,1835,25-34,M,5,USA,White,-0.67825,0.63779,-0.45174,-0.45321,0.25953,Used in Last Day,1,6
605,605,1853,25-34,M,6,USA,Other,0.41667,0.96248,-0.17779,-0.45321,0.7583,Used in Last Day,1,6
608,608,7,45-54,M,8,USA,White,-0.46725,-1.09207,-0.45174,-0.30172,0.93949,Used in Last Day,1,6
616,616,123,55-64,M,8,UK,White,0.22393,0.16767,-0.17779,-0.30172,-0.89891,Used in Last Day,1,6
621,621,277,55-64,M,9,UK,White,-0.92104,0.47617,-0.58331,-0.30172,-0.52745,Used in Last Day,1,6
622,622,284,45-54,M,7,UK,White,-0.92104,1.58487,0.14143,-0.30172,0.7583,Used in Last Day,1,6
624,624,289,25-34,M,5,UK,White,0.62967,0.32197,-0.71727,-0.30172,-0.00665,Used in Last Day,1,6
626,626,398,35-44,F,7,UK,White,-1.86962,0.63779,-0.97631,-0.30172,0.58489,Used in Last Day,1,6
627,627,409,35-44,M,3,UK,Other,1.37297,-0.15487,-0.31776,-0.30172,-0.65253,Used in Last Day,1,6
628,628,421,25-34,M,7,UK,White,0.62967,0.16767,-0.17779,-0.30172,0.12331,Used in Last Day,1,6
630,630,427,35-44,M,7,UK,White,-0.34799,-0.30033,0.14143,-0.30172,-1.64101,Used in Last Day,1,6
632,632,469,35-44,M,7,UK,White,-0.05188,0.16767,-0.71727,-0.30172,0.12331,Used in Last Day,1,6
635,635,564,35-44,F,8,UK,Other,2.61139,0.47617,-1.55521,-0.30172,1.46191,Used in Last Day,1,6
637,637,583,18-24,M,5,UK,White,-0.92104,1.58487,0.44585,-0.30172,-0.65253,Used in Last Day,1,6
638,638,584,35-44,F,6,UK,White,0.31287,1.2861,1.65653,-0.30172,0.93949,Used in Last Day,1,6
640,640,625,45-54,F,8,UK,White,-0.34799,0.00332,-0.45174,-0.30172,-1.38502,Used in Last Day,1,6
643,643,670,25-34,M,5,UK,White,-0.58016,0.96248,0.44585,-0.30172,-0.14277,Used in Last Day,1,6
645,645,693,45-54,F,8,UK,White,0.22393,-0.69509,-0.31776,-0.30172,-0.52745,Used in Last Day,1,6
652,652,799,25-34,F,5,USA,White,0.13606,1.11406,0.7233,-0.30172,0.7583,Used in Last Day,1,6
658,658,921,18-24,M,4,Canada,White,0.22393,1.45421,2.15324,-0.30172,-1.0145,Used in Last Day,1,6
659,659,948,25-34,M,6,UK,White,2.127,-1.37639,0.14143,-0.30172,-1.64101,Used in Last Day,1,6
669,669,1090,18-24,F,8,UK,White,0.52135,0.47617,-0.01928,-0.30172,0.25953,Used in Last Day,1,6
682,682,1342,35-44,M,4,USA,Black,0.73545,-1.37639,-0.97631,-0.30172,-0.52745,Used in Last Day,1,6
685,685,1478,18-24,M,5,USA,White,0.41667,-0.69509,-0.01928,-0.30172,-1.25773,Used in Last Day,1,6
687,687,1504,25-34,M,7,USA,White,-0.46725,0.47617,1.43533,-0.30172,-0.40581,Used in Last Day,1,6
690,690,1603,55-64,F,8,UK,White,0.31287,0.47617,1.06238,-0.30172,-0.78155,Used in Last Day,1,6
692,692,1621,25-34,M,7,UK,Black,1.37297,-0.30033,-0.97631,-0.30172,-0.27607,Used in Last Day,1,6
698,698,1695,45-54,M,8,UK,White,-0.92104,-0.30033,-0.01928,-0.30172,-0.40581,Used in Last Day,1,6
700,700,1758,35-44,M,6,UK,White,1.02119,-0.43999,-2.39883,-0.30172,0.7583,Used in Last Day,1,6
705,705,1825,25-34,M,7,UK,Asian,-0.46725,-1.50796,-0.58331,-0.30172,-0.40581,Used in Last Day,1,6
706,706,1834,35-44,F,7,USA,White,-0.34799,-1.09207,0.29338,-0.30172,1.30612,Used in Last Day,1,6
712,712,44,35-44,M,6,UK,White,-0.92104,-0.57545,-0.31776,-0.15487,-1.0145,Used in Last Day,1,6
713,713,49,45-54,M,2,UK,White,0.13606,-0.80615,-0.31776,-0.15487,-0.65253,Used in Last Day,1,6
714,714,81,65+,F,9,Canada,White,0.04257,0.32197,0.44585,-0.15487,1.46191,Used in Last Day,1,6
722,722,305,45-54,F,7,UK,White,-0.34799,0.00332,-1.27553,-0.15487,0.93949,Used in Last Day,1,6
726,726,350,45-54,M,6,UK,Black,-0.58016,0.32197,-0.45174,-0.15487,0.25953,Used in Last Day,1,6
730,730,416,35-44,F,5,UK,White,-1.86962,0.32197,-1.11902,-0.15487,-0.65253,Used in Last Day,1,6
736,736,476,55-64,F,7,UK,Mixed-White/Asian,-0.24649,0.96248,0.14143,-0.15487,0.41594,Used in Last Day,1,6
737,737,483,35-44,F,7,Australia,White,1.02119,0.16767,0.29338,-0.15487,0.58489,Used in Last Day,1,6
740,740,558,18-24,F,7,UK,White,-0.14882,-0.30033,0.29338,-0.15487,0.25953,Used in Last Day,1,6
743,743,662,18-24,F,7,UK,White,-0.24649,-1.09207,-0.71727,-0.15487,1.46191,Used in Last Day,1,6
748,748,721,35-44,M,5,UK,White,1.23461,0.80523,0.88309,-0.15487,1.13407,Used in Last Day,1,6
750,750,733,18-24,F,7,UK,White,1.23461,0.63779,0.7233,-0.15487,-0.00665,Used in Last Day,1,6
753,753,837,18-24,M,7,USA,White,0.52135,-0.94779,-0.45174,-0.15487,-0.14277,Used in Last Day,1,6
754,754,847,35-44,M,5,USA,White,0.91093,-1.6334,-1.42424,-0.15487,0.25953,Used in Last Day,1,6
757,757,881,25-34,M,8,USA,White,1.23461,0.00332,-0.31776,-0.15487,-0.14277,Used in Last Day,1,6
759,759,980,45-54,F,5,USA,White,1.23461,-1.09207,-0.45174,-0.15487,0.7583,Used in Last Day,1,6
762,762,1037,18-24,F,5,USA,White,0.52135,0.80523,0.88309,-0.15487,-0.27607,Used in Last Day,1,6
763,763,1042,35-44,F,8,UK,White,0.62967,-0.15487,-1.97495,-0.15487,-1.0145,Used in Last Day,1,6
765,765,1087,18-24,F,8,UK,White,-0.24649,0.47617,0.88309,-0.15487,1.81175,Used in Last Day,1,6
773,773,1242,35-44,F,7,UK,White,1.02119,-1.37639,-0.45174,-0.15487,-0.89891,Used in Last Day,1,6
