"","ID","Age","Gender","Education","Country","Ethnicity","Nscore","Escore","Oscore","AScore","Cscore","Impulsive","SS","Alcohol","Amphet","Amyl","Benzos","Caff","Cannabis","Choc","Coke","Crack","Ecstasy","Heroin","Ketamine","Legalh","LSD","Meth","Mushrooms","Nicotine","Semer","VSA","iso3"
"47",50,"25-34","F","Masters degree","UK","Mixed-White/Black",0.82562,-0.57545,-1.97495,-0.91699,0.25953,0.52975,1.2247,"6","0","0","0","6","0","6","0","0","0","0","0","0","0","0","0","5","0","0","GBR"
"48",51,"35-44","M","Masters degree","UK","White",1.02119,-0.15487,-0.17779,-1.21213,-0.00665,-0.71126,-0.84637,"6","1","2","1","6","3","6","2","0","3","0","0","2","1","0","3","6","0","0","GBR"
"49",52,"45-54","M","Professional certificate/ diploma","Canada","White",1.13281,0.96248,-0.58331,-0.91699,-1.92173,1.86203,1.92173,"2","1","1","1","6","2","6","1","0","0","0","0","0","1","0","1","2","0","0","CAN"
"50",53,"55-64","F","University degree","UK","White",-0.14882,0.00332,-1.42424,0.28783,-0.78155,0.52975,-1.54858,"5","0","0","0","6","0","5","0","0","0","0","0","0","0","0","0","1","0","0","GBR"
"51",54,"45-54","M","Masters degree","UK","White",-1.43907,-0.15487,1.06238,0.28783,0.25953,-0.21712,-0.21575,"5","1","1","0","6","1","5","1","0","1","0","0","0","1","0","1","1","0","0","GBR"
"52",55,"55-64","M","Left school at 16 years","UK","White",0.04257,1.11406,-0.58331,-1.07533,-1.13788,1.29221,1.2247,"6","0","0","0","6","2","6","6","0","3","0","0","3","1","0","1","1","0","0","GBR"
"53",56,"55-64","F","Professional certificate/ diploma","UK","White",0.04257,-0.69509,-1.11902,-0.45321,-0.40581,-1.37983,-2.07848,"3","0","0","0","6","0","6","0","0","0","0","0","0","0","0","0","0","0","0","GBR"
"54",57,"35-44","F","Some college or university, no certificate or degree","UK","White",0.04257,0.00332,-1.68062,-0.01729,0.25953,-1.37983,-1.54858,"5","0","0","0","6","0","6","0","0","0","0","0","0","0","0","0","0","0","0","GBR"
"55",58,"25-34","F","University degree","UK","White",-0.58016,0.63779,-1.97495,0.28783,0.7583,-0.71126,-0.52593,"1","0","0","0","6","0","3","0","0","0","0","0","0","0","0","0","0","0","0","GBR"
"56",59,"45-54","M","Left school at 18 years","UK","White",0.22393,0.63779,-0.01928,-0.45321,-0.40581,1.86203,1.2247,"5","1","1","0","6","5","5","5","2","3","1","3","3","1","0","2","6","0","1","GBR"
"57",60,"45-54","M","University degree","UK","White",-0.46725,-1.23177,-1.27553,-1.6209,-0.14277,-1.37983,-1.54858,"5","0","0","0","6","0","6","0","0","0","0","0","0","0","0","0","0","0","0","GBR"
"58",61,"25-34","F","Doctorate degree","UK","White",1.37297,0.32197,0.29338,-0.30172,-0.27607,-1.37983,0.07987,"5","0","0","3","6","0","6","0","0","0","0","0","0","0","0","0","1","0","0","GBR"
"59",62,"45-54","M","Masters degree","UK","Asian",-2.21844,1.58487,1.24033,0.13136,1.30612,-1.37983,-1.18084,"5","1","0","0","4","1","5","0","0","0","0","0","0","0","0","1","0","0","1","GBR"
"60",63,"25-34","M","University degree","UK","White",-0.58016,-1.37639,-1.82919,-1.34289,0.41594,-1.37983,-1.18084,"5","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","4","0","0","GBR"
"61",64,"45-54","M","University degree","UK","White",1.02119,-0.30033,-0.71727,-0.60633,-0.00665,-1.37983,-1.18084,"5","0","0","0","6","0","5","0","0","0","0","0","0","0","0","0","0","0","0","GBR"
"62",65,"45-54","M","Doctorate degree","UK","White",-1.55078,0.47617,1.06238,-0.45321,0.93949,-1.37983,-0.52593,"6","1","0","1","6","6","5","4","0","0","0","0","0","1","0","1","1","0","0","GBR"
"63",66,"35-44","M","Some college or university, no certificate or degree","UK","White",0.73545,0.47617,-0.84732,1.11406,0.58489,0.52975,-0.21575,"5","0","0","3","6","0","6","0","0","0","0","0","0","0","0","0","0","0","0","GBR"
"64",67,"45-54","M","Left school at 16 years","UK","White",-1.05308,-0.69509,-1.11902,1.2861,0.41594,-0.71126,-1.18084,"4","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","GBR"
"65",68,"25-34","M","Masters degree","UK","White",-0.34799,-0.30033,1.06238,-0.91699,-0.14277,0.88113,-0.21575,"5","1","1","0","6","2","5","1","0","0","0","0","0","1","0","1","5","0","0","GBR"
"66",70,"45-54","F","Left school at 16 years","UK","White",-0.05188,-0.69509,-1.68062,0.28783,-0.00665,-1.37983,-0.84637,"6","0","0","6","1","0","6","0","0","0","0","0","0","0","0","0","1","0","0","GBR"
"67",71,"25-34","M","Some college or university, no certificate or degree","UK","White",-0.34799,-0.30033,0.14143,-1.92595,-0.27607,0.52975,0.7654,"6","2","1","0","4","2","6","3","0","3","0","2","2","2","0","0","2","0","1","GBR"
"68",72,"45-54","F","Left school at 18 years","Canada","White",-0.46725,1.11406,-0.31776,1.11406,0.12331,-2.55524,-0.84637,"5","0","0","0","6","1","6","0","0","0","0","0","0","0","0","0","6","0","0","CAN"
"69",73,"45-54","M","Left school at 18 years","UK","White",-1.55078,0.96248,-0.01928,0.43852,0.93949,0.19268,0.40148,"6","1","1","0","6","1","5","0","0","0","0","0","0","0","0","0","2","0","0","GBR"
"70",74,"45-54","M","Professional certificate/ diploma","UK","White",-0.67825,-0.57545,-0.31776,0.28783,1.13407,-0.71126,-0.21575,"6","0","0","0","6","0","6","0","0","0","0","0","0","0","0","0","1","0","0","GBR"
"71",75,"65+","F","Left school at 16 years","UK","White",-1.1943,-1.7625,-2.8595,-1.47955,0.25953,0.52975,-2.07848,"3","0","0","0","6","0","6","0","0","0","0","0","0","0","0","0","1","0","0","GBR"
"72",76,"25-34","M","University degree","UK","White",-0.14882,0.16767,-1.55521,-0.76096,-0.40581,0.52975,-0.21575,"5","0","0","0","6","1","6","0","0","0","0","0","0","0","0","0","0","0","0","GBR"
"73",77,"45-54","F","Left school at 17 years","Canada","White",-0.34799,-0.69509,-1.55521,0.43852,0.58489,-2.55524,-2.07848,"4","0","0","0","6","0","5","0","0","0","0","0","0","0","0","0","6","0","0","CAN"
"74",78,"35-44","M","University degree","UK","White",0.13606,-1.6334,-0.58331,-1.21213,-0.40581,-0.21712,-2.07848,"3","1","0","0","6","2","5","1","0","1","0","0","0","1","0","0","6","0","0","GBR"
"75",79,"35-44","M","Some college or university, no certificate or degree","UK","White",-0.79151,-0.80615,-2.09015,-1.6209,-2.18109,-2.55524,-1.18084,"6","0","1","0","6","1","5","1","0","1","0","0","0","0","0","0","3","0","1","GBR"
"76",80,"35-44","M","Professional certificate/ diploma","UK","White",-0.34799,-0.80615,-1.97495,1.11406,-0.65253,-0.21712,-0.21575,"5","0","0","0","6","0","6","0","0","0","0","0","0","0","0","0","1","0","0","GBR"
"77",81,"65+","F","Doctorate degree","Canada","White",0.04257,0.32197,0.44585,-0.15487,1.46191,-0.21712,-0.21575,"6","0","0","3","6","1","5","1","0","0","0","0","0","0","0","0","0","0","0","CAN"
"78",82,"55-64","F","University degree","UK","White",-0.79151,-1.23177,-0.01928,-0.91699,-0.14277,0.88113,0.40148,"5","1","1","1","6","2","6","1","0","0","1","0","0","1","1","1","1","0","0","GBR"
"79",83,"55-64","M","Masters degree","Canada","White",-2.05048,1.45421,-0.97631,0.59042,1.46191,-0.21712,-1.18084,"5","0","0","0","6","0","6","0","0","0","0","0","0","0","0","0","0","0","0","CAN"
"80",84,"55-64","F","Left school at 17 years","UK","Mixed-White/Black",1.02119,-0.94779,-1.11902,1.45039,-1.64101,0.19268,-0.21575,"3","0","0","5","6","1","6","0","0","0","0","0","0","0","0","0","6","0","0","GBR"
"81",85,"45-54","M","Left school at 16 years","UK","White",-0.34799,0.16767,-0.31776,-0.30172,-0.14277,-1.37983,0.07987,"5","0","0","0","6","2","4","0","0","0","0","0","0","0","0","0","0","0","0","GBR"
"82",86,"25-34","F","Left school at 18 years","UK","White",-0.46725,0.00332,-1.55521,0.13136,0.41594,0.52975,1.2247,"3","0","1","0","6","1","6","0","0","0","0","0","0","0","0","0","6","0","0","GBR"
"83",87,"35-44","M","Some college or university, no certificate or degree","UK","White",0.73545,-0.15487,-1.11902,0.13136,-0.14277,-0.21712,0.40148,"5","0","1","0","6","1","5","0","0","0","0","0","0","0","0","0","6","0","0","GBR"
"84",88,"55-64","M","Left school at 16 years","UK","White",-0.92104,0.16767,-0.45174,-0.30172,0.25953,-0.71126,0.40148,"5","0","0","0","5","1","5","0","0","0","0","0","0","0","0","0","0","0","0","GBR"
"85",89,"35-44","F","Some college or university, no certificate or degree","UK","White",0.31287,-1.92173,-1.42424,-0.76096,-0.52745,-1.37983,-2.07848,"3","0","1","1","6","2","6","0","0","0","0","0","0","0","0","1","1","0","0","GBR"
"86",90,"35-44","F","Masters degree","UK","White",0.91093,-0.57545,0.29338,-0.60633,-0.27607,0.52975,-0.21575,"5","1","1","2","6","0","5","0","0","0","0","0","0","1","0","1","0","0","1","GBR"
"87",91,"35-44","F","Masters degree","UK","White",1.37297,0.32197,0.7233,0.28783,-0.78155,-1.37983,0.07987,"6","0","0","0","6","3","6","0","0","0","0","0","0","0","0","0","4","0","0","GBR"
"88",92,"35-44","M","Professional certificate/ diploma","Canada","White",0.41667,-0.43999,0.7233,0.28783,0.7583,0.88113,0.7654,"2","0","0","3","6","1","0","0","0","0","0","0","0","1","0","1","1","0","0","CAN"
"89",93,"25-34","M","Left school at 18 years","UK","White",-1.55078,-0.30033,-0.45174,0.28783,-0.00665,-0.71126,-0.84637,"4","0","0","0","6","1","6","0","0","0","0","0","0","0","0","0","1","0","0","GBR"
"90",94,"65+","F","Left school at 16 years","UK","White",-0.14882,-0.80615,-0.97631,0.76096,0.41594,-1.37983,-1.54858,"3","0","0","0","6","0","6","0","0","0","0","0","0","0","0","0","0","0","0","GBR"
"91",95,"45-54","M","Masters degree","UK","White",-0.67825,-0.57545,-0.97631,0.59042,-0.14277,-1.37983,-2.07848,"5","0","0","3","6","2","5","0","0","0","0","0","0","0","0","0","3","0","0","GBR"
"92",96,"45-54","M","Masters degree","UK","White",-0.46725,0.32197,1.06238,-1.6209,1.13407,0.52975,-0.21575,"6","1","1","1","6","1","6","1","0","0","0","0","0","1","0","1","1","0","0","GBR"
"93",97,"35-44","F","University degree","Canada","White",0.13606,-1.09207,0.29338,-0.15487,0.7583,-1.37983,-1.54858,"4","1","0","0","6","2","6","1","0","0","0","0","0","1","0","1","3","0","0","CAN"
"94",98,"45-54","F","Masters degree","UK","White",-0.46725,0.63779,-0.31776,-0.60633,-1.13788,0.19268,-0.84637,"5","1","0","1","6","1","5","1","0","0","0","0","0","0","0","0","2","0","0","GBR"
"95",99,"35-44","M","Doctorate degree","Canada","White",-1.1943,-0.43999,-0.01928,-0.60633,0.93949,-0.21712,1.2247,"4","1","0","0","6","1","4","1","0","0","0","0","0","1","0","1","2","0","0","CAN"
"96",100,"25-34","F","University degree","UK","White",-0.67825,3.00537,0.7233,0.94156,1.63088,0.52975,0.40148,"6","2","0","3","6","3","5","0","0","1","0","0","0","0","0","0","5","0","0","GBR"
"97",102,"45-54","F","Left school at 16 years","Australia","White",-0.58016,0.47617,-1.68062,-0.15487,0.93949,-1.37983,-0.84637,"4","0","0","0","6","1","5","0","0","0","0","0","0","0","0","0","6","0","0","AUS"
"98",103,"45-54","M","Left school at 18 years","UK","White",-0.58016,1.2861,1.43533,-1.34289,-0.00665,-0.71126,1.2247,"6","1","3","4","6","1","4","4","1","2","2","1","1","2","0","2","1","0","0","GBR"
"99",104,"45-54","F","Professional certificate/ diploma","Canada","White",0.04257,0.63779,-0.31776,-0.30172,0.12331,0.19268,0.7654,"4","0","0","0","6","0","6","0","0","0","0","0","0","0","0","0","0","0","0","CAN"
"100",105,"25-34","F","Some college or university, no certificate or degree","Canada","White",-0.92104,0.16767,-0.17779,1.11406,0.58489,-0.71126,0.07987,"5","0","0","0","6","6","6","2","0","2","0","0","0","0","0","2","6","0","0","CAN"
"101",106,"35-44","M","Professional certificate/ diploma","UK","White",-2.21844,0.47617,-1.82919,-0.76096,2.04506,-1.37983,-1.54858,"3","0","0","0","6","0","6","0","0","0","0","0","0","0","0","0","0","0","0","GBR"
"102",107,"25-34","F","Some college or university, no certificate or degree","UK","White",1.02119,-0.30033,-1.82919,0.28783,-0.40581,-1.37983,-0.84637,"4","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","GBR"
"103",108,"35-44","F","Left school at 16 years","UK","White",0.13606,0.00332,-1.27553,-0.76096,0.58489,0.52975,-0.21575,"5","3","0","0","6","0","6","3","0","0","0","0","0","0","0","0","6","0","0","GBR"
"104",109,"25-34","F","University degree","UK","White",-0.46725,2.127,0.14143,0.13136,0.7583,1.86203,1.2247,"5","0","0","3","6","3","6","4","0","0","0","0","0","0","0","0","1","0","0","GBR"
"105",110,"45-54","F","Some college or university, no certificate or degree","UK","White",-0.79151,0.47617,-1.42424,-0.91699,-0.52745,-0.71126,0.07987,"5","1","0","0","6","2","6","0","0","0","0","0","0","0","0","0","3","0","0","GBR"
"106",111,"45-54","M","Masters degree","UK","Asian",-0.14882,0.32197,0.14143,-0.30172,-0.14277,0.19268,-0.52593,"5","0","0","0","6","0","6","0","0","0","0","0","0","0","0","0","0","0","0","GBR"
"107",112,"25-34","M","Masters degree","UK","White",0.31287,-1.09207,-0.84732,-0.60633,-0.65253,0.19268,0.40148,"6","1","0","0","6","3","0","0","0","0","0","0","0","1","0","1","0","0","0","GBR"
"108",113,"25-34","F","University degree","UK","White",-1.1943,0.32197,0.88309,-1.21213,-0.78155,-0.21712,-0.21575,"3","0","0","0","6","2","6","0","0","0","0","0","0","0","0","0","6","0","0","GBR"
"109",114,"45-54","F","Professional certificate/ diploma","UK","White",0.04257,0.63779,0.29338,0.13136,0.7583,0.19268,-0.21575,"4","0","0","1","6","2","4","0","0","0","0","0","0","0","0","0","6","0","0","GBR"
"110",115,"35-44","M","Some college or university, no certificate or degree","UK","White",-2.3436,1.93886,1.43533,-0.76096,-1.38502,1.86203,1.2247,"4","1","1","2","6","6","4","1","0","2","2","2","0","2","0","2","6","0","0","GBR"
"111",116,"25-34","F","Professional certificate/ diploma","Canada","White",0.22393,-0.57545,-0.84732,0.28783,1.13407,-1.37983,-2.07848,"5","1","2","0","6","2","5","2","0","2","0","0","0","1","0","2","6","0","0","CAN"
"112",117,"35-44","M","Professional certificate/ diploma","Canada","White",0.62967,-0.57545,0.14143,-1.772,-0.40581,0.52975,-0.21575,"4","0","0","0","4","2","6","0","0","0","0","0","0","0","0","0","6","0","0","CAN"
"113",118,"25-34","F","University degree","UK","White",1.60383,0.80523,1.43533,0.13136,-1.13788,0.52975,0.40148,"5","1","1","3","6","1","5","3","0","3","2","2","2","2","0","3","4","0","0","GBR"
"114",119,"35-44","F","Some college or university, no certificate or degree","USA","White",1.8399,-1.92173,-2.39883,1.11406,0.25953,-0.21712,-1.54858,"5","0","0","6","6","1","6","0","0","0","0","0","0","1","1","0","6","0","0","USA"
"115",120,"35-44","F","University degree","UK","White",-0.34799,0.63779,-0.97631,0.28783,1.46191,-0.21712,-0.84637,"5","0","0","0","4","0","5","0","0","0","0","0","0","0","0","0","2","0","0","GBR"
"116",121,"25-34","F","Masters degree","UK","White",-1.05308,0.63779,-0.97631,-1.07533,0.7583,0.19268,1.92173,"6","1","0","0","6","1","6","0","0","0","0","0","0","1","0","1","2","0","0","GBR"
"117",122,"35-44","F","Professional certificate/ diploma","UK","White",1.49158,-1.23177,-1.55521,-2.07848,-0.78155,0.52975,0.07987,"2","0","0","0","6","0","5","0","0","0","0","0","0","0","0","0","1","0","0","GBR"
"118",123,"55-64","M","Masters degree","UK","White",0.22393,0.16767,-0.17779,-0.30172,-0.89891,-0.21712,-0.52593,"6","0","0","0","6","1","3","0","0","0","0","0","0","0","0","0","1","0","0","GBR"
"119",124,"25-34","F","University degree","UK","White",0.22393,-0.69509,-0.45174,-0.01729,0.12331,1.29221,0.07987,"5","1","0","0","6","3","5","2","0","0","0","0","0","0","0","0","3","0","1","GBR"
"120",125,"45-54","M","Left school at 16 years","UK","White",-0.34799,1.93886,0.29338,0.43852,0.58489,-0.21712,-0.21575,"3","0","0","0","6","0","5","0","0","0","0","0","0","0","0","0","0","0","0","GBR"
"121",126,"55-64","M","University degree","UK","White",-0.46725,1.2861,0.44585,0.13136,1.13407,0.52975,0.40148,"6","0","0","0","5","0","6","0","0","0","0","0","0","0","0","0","2","0","0","GBR"
"122",127,"45-54","M","University degree","UK","White",-1.1943,0.63779,-1.11902,-0.45321,-0.00665,-0.21712,-0.84637,"5","1","1","0","5","1","5","0","0","0","0","0","0","0","0","1","0","0","0","GBR"
"123",128,"45-54","F","Left school at 17 years","UK","White",-0.34799,-0.80615,-0.84732,0.28783,0.93949,-1.37983,-2.07848,"5","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","GBR"
"124",129,"35-44","M","Doctorate degree","UK","Asian",0.04257,0.63779,0.14143,0.13136,0.25953,-0.21712,-1.18084,"0","0","0","2","1","0","3","0","0","0","0","0","0","0","0","0","1","0","0","GBR"
"125",130,"45-54","F","Masters degree","UK","White",-0.79151,0.96248,-1.11902,0.94156,0.41594,0.19268,0.40148,"6","0","0","0","6","0","5","0","0","0","0","0","0","0","0","0","0","0","0","GBR"
"126",131,"45-54","F","Left school at 16 years","UK","White",0.91093,0.32197,-1.42424,0.43852,2.33337,-0.71126,-1.18084,"5","0","0","0","6","0","4","0","0","0","0","0","0","0","0","0","0","0","0","GBR"
